YEAR,state,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PS,QV2M,RH2M,T2MDEW,T2MWET,TOA_SW_DWN,TS,WD10M,WD2M,WS10M,WS2M
1981,Washington,,,,,,,,,,,,0.6,0.54,0.56,90.11,4.88,76.62,0.96,3.34,,5.15,288.31,295.44,2.18,0.63
1982,Washington,,,,,,,,,,,,0.63,0.57,0.59,90.03,4.76,78.81,0.15,2.26,,3.58,287.75,294.62,2.1,0.62
1983,Washington,,,,,,,,,,,,0.69,0.62,0.64,89.94,4.94,80.56,0.87,2.79,,4.01,295.56,304.56,2.14,0.62
1984,Washington,,,,13.22,,,,0.22,65.88,,18.69,0.7,0.62,0.65,90.11,4.7,80.0,0.26,2.21,25.51,3.54,282.56,286.75,2.2,0.62
1985,Washington,,,,14.06,,,,0.18,63.0,,18.83,0.62,0.55,0.58,90.26,4.39,77.62,-1.04,1.3,25.55,2.72,293.88,300.44,2.18,0.64
1986,Washington,,,,12.87,,,,0.17,69.13,,18.66,0.61,0.55,0.58,90.15,4.88,77.69,0.85,3.15,25.55,4.83,292.88,298.81,2.16,0.62
1987,Washington,,,,13.89,,,,0.16,63.68,,18.55,0.59,0.52,0.55,90.22,4.88,74.81,0.86,3.5,25.55,5.35,293.62,300.81,2.09,0.62
1988,Washington,,,,12.83,,,,0.15,66.59,,18.47,0.58,0.52,0.55,90.23,4.76,75.75,0.64,3.15,25.51,4.9,285.0,290.38,2.23,0.65
1989,Washington,,,,13.45,,,,0.12,63.69,,18.68,0.6,0.55,0.57,90.26,4.82,76.56,0.66,3.01,25.56,4.75,288.88,294.94,2.19,0.64
1990,Washington,,,,13.31,,,,0.16,67.92,,18.74,0.62,0.57,0.59,90.12,5.07,77.12,1.08,3.4,25.56,5.19,281.94,285.56,2.37,0.66
1991,Washington,,,,13.62,,,,0.16,64.87,,18.68,0.65,0.58,0.61,90.2,5.0,77.75,1.1,3.3,25.56,4.94,293.56,301.25,2.19,0.62
1992,Washington,,,,13.69,,,,0.17,64.62,,18.65,0.61,0.55,0.57,90.14,5.19,76.75,1.62,4.0,25.51,5.65,295.38,303.5,2.1,0.62
1993,Washington,,,,12.82,,,,0.17,62.47,,18.89,0.59,0.53,0.55,90.2,4.76,77.38,0.24,2.48,25.55,3.88,303.69,311.94,2.07,0.62
1994,Washington,,,,13.48,,,,0.16,65.49,,18.75,0.57,0.52,0.55,90.12,4.88,75.88,0.87,3.39,25.55,5.26,286.88,291.62,2.15,0.62
1995,Washington,,,,13.31,,,,0.15,64.93,,18.71,0.66,0.59,0.62,90.07,5.0,78.75,1.05,3.15,25.55,4.62,299.12,309.62,2.16,0.62
1996,Washington,,,,13.36,,,,0.17,65.84,,18.83,0.7,0.62,0.65,90.04,4.82,79.25,0.23,2.29,25.5,3.61,290.0,298.56,2.12,0.62
1997,Washington,,,,14.1,,,,0.2,62.07,,19.06,0.7,0.62,0.65,90.16,5.19,80.56,1.47,3.37,25.55,4.53,288.38,298.12,2.11,0.62
1998,Washington,,,,14.19,,,,0.2,62.34,,18.98,0.66,0.59,0.61,89.98,5.37,78.94,1.96,4.08,25.56,5.57,293.75,300.88,2.07,0.61
1999,Washington,,,,14.15,,,,0.23,63.4,,19.05,0.67,0.59,0.62,90.16,4.82,77.62,0.88,3.11,25.56,4.65,282.06,288.75,2.23,0.64
2000,Washington,,,,14.2,,,,0.2,60.46,,19.05,0.62,0.55,0.57,90.21,4.7,78.19,0.37,2.59,25.52,4.12,292.31,298.56,2.14,0.62
2001,Washington,69.19,5.51,15.21,13.56,9.16,0.17,,0.16,64.0,94.13,18.7,0.55,0.5,0.53,90.16,4.7,76.25,0.38,2.86,25.57,4.75,290.56,297.0,2.22,0.64
2002,Washington,70.48,5.24,16.6,13.87,9.28,0.17,,0.16,59.76,94.58,18.8,0.57,0.52,0.54,90.22,4.76,75.19,0.48,3.05,25.57,4.95,291.69,298.06,2.21,0.64
2003,Washington,70.54,5.33,16.24,13.83,9.31,0.17,,0.15,61.4,94.16,18.7,0.55,0.51,0.53,90.13,4.88,74.38,1.01,3.71,25.56,5.83,288.38,293.88,2.19,0.63
2004,Washington,69.68,5.35,15.67,13.63,9.21,0.17,,0.15,63.16,94.22,18.62,0.56,0.52,0.54,90.19,5.19,76.44,1.83,4.28,25.51,6.19,292.88,298.81,2.11,0.62
2005,Washington,69.8,5.12,16.7,13.7,9.22,0.17,,0.14,59.65,94.62,18.75,0.55,0.51,0.53,90.15,4.88,75.19,0.91,3.48,25.55,5.37,294.75,302.81,2.12,0.63
2006,Washington,70.55,5.06,16.54,13.82,9.3,0.18,,0.16,60.35,94.39,18.71,0.61,0.55,0.58,90.12,4.94,76.75,0.94,3.37,25.55,5.08,288.44,295.38,2.2,0.64
2007,Washington,69.37,5.49,15.34,13.56,9.2,0.17,,0.16,64.58,94.46,18.71,0.62,0.55,0.58,90.19,4.88,77.25,0.93,3.23,25.55,4.94,283.38,285.81,2.18,0.63
2008,Washington,68.67,5.55,15.23,13.49,9.05,0.17,,0.16,64.47,93.38,18.59,0.59,0.52,0.55,90.17,4.64,75.88,-0.04,2.43,25.5,4.15,289.12,293.56,2.23,0.66
2009,Washington,71.05,5.42,16.3,13.99,9.34,0.18,,0.16,61.52,93.67,18.67,0.57,0.52,0.54,90.18,4.64,74.12,-0.02,2.65,25.55,4.73,294.19,301.81,2.21,0.65
2010,Washington,66.55,5.45,14.47,13.04,8.84,0.16,,0.14,67.94,93.99,18.69,0.58,0.52,0.55,90.0,4.88,78.06,0.98,3.16,25.56,4.84,297.88,306.06,2.16,0.63
2011,Washington,66.37,5.28,14.96,13.01,8.79,0.16,,0.15,63.54,93.82,18.67,0.6,0.55,0.57,90.09,4.64,77.06,0.21,2.48,25.56,4.17,283.5,286.44,2.28,0.66
2012,Washington,67.19,5.16,15.06,13.14,8.88,0.17,,0.15,63.48,93.41,18.55,0.59,0.54,0.56,90.04,4.88,76.69,0.87,3.27,25.52,5.01,283.88,288.12,2.2,0.64
2013,Washington,69.52,5.09,16.59,13.6,9.17,0.17,,0.15,58.46,94.34,18.66,0.59,0.53,0.55,90.29,5.07,76.12,1.12,3.51,25.56,5.23,294.56,302.0,2.15,0.63
2014,Washington,69.7,5.12,16.31,13.64,9.19,0.17,,0.13,61.04,94.09,18.61,0.58,0.53,0.55,90.15,5.19,75.19,1.31,3.82,25.56,5.77,293.25,301.75,2.27,0.65
2015,Washington,71.79,5.02,17.21,14.1,9.41,0.17,,0.13,59.32,93.61,18.53,0.56,0.51,0.53,90.2,5.19,72.81,1.73,4.6,25.57,6.82,297.62,305.62,2.12,0.62
2016,Washington,68.98,4.92,16.24,13.5,9.12,0.17,,0.15,62.32,94.58,18.69,0.61,0.55,0.58,90.13,5.19,78.44,1.83,4.02,25.51,5.53,294.44,303.12,2.15,0.63
2017,Washington,69.63,5.07,16.11,13.65,9.18,0.18,,0.16,59.55,93.66,18.6,0.6,0.54,0.57,90.13,4.88,78.19,0.62,2.93,25.55,4.32,295.25,304.81,2.09,0.62
2018,Washington,69.88,5.08,16.38,13.73,9.17,0.17,,0.14,59.22,93.34,18.55,0.59,0.53,0.56,90.21,5.0,75.88,1.38,3.86,25.55,5.65,293.88,301.81,2.2,0.64
2019,Washington,69.48,5.39,15.65,13.58,9.21,0.17,,0.16,63.28,94.2,18.65,0.55,0.5,0.53,90.14,4.94,76.19,0.81,3.22,25.55,4.94,307.31,316.19,2.13,0.63
2020,Washington,70.27,5.34,16.04,13.8,9.23,0.17,,0.15,61.79,93.16,18.51,0.58,0.52,0.55,90.2,5.07,76.25,1.4,3.83,25.51,5.72,285.06,288.75,2.36,0.66
2021,Washington,72.16,5.27,16.17,14.14,9.48,0.18,,0.15,63.16,93.89,18.62,0.56,0.52,0.53,90.12,5.0,74.62,1.04,3.71,25.56,5.81,287.31,291.5,2.31,0.66
2022,Washington,69.16,5.41,15.51,13.54,9.1,0.17,,0.16,62.65,93.79,18.64,0.56,0.52,0.54,90.23,4.94,74.94,0.76,3.39,25.57,5.24,295.88,303.62,2.17,0.65
1981,Oregon,,,,,,,,,,,,0.47,0.44,0.46,86.87,4.7,66.56,0.17,3.94,,8.35,241.75,244.81,4.05,2.77
1982,Oregon,,,,,,,,,,,,0.55,0.52,0.55,86.8,4.82,72.25,0.03,2.97,,6.3,241.06,242.69,4.08,2.77
1983,Oregon,,,,,,,,,,,,0.6,0.55,0.58,86.69,5.13,74.44,1.09,3.78,,6.92,220.62,222.12,4.06,2.77
1984,Oregon,,,,15.6,,,,0.17,58.2,,19.65,0.63,0.56,0.59,86.91,4.88,73.38,0.4,3.22,26.67,6.48,238.62,240.06,4.05,2.77
1985,Oregon,,,,16.8,,,,0.18,53.18,,20.09,0.56,0.51,0.54,86.99,4.58,70.69,-0.5,2.71,26.71,6.33,257.62,259.81,3.73,2.52
1986,Oregon,,,,16.06,,,,0.17,58.88,,19.97,0.53,0.48,0.52,86.91,5.0,69.0,1.1,4.48,26.71,8.4,240.0,241.75,3.87,2.63
1987,Oregon,,,,16.59,,,,0.16,55.75,,19.79,0.49,0.45,0.48,86.95,4.7,64.56,0.12,4.11,26.71,8.61,242.81,245.81,3.88,2.63
1988,Oregon,,,,16.37,,,,0.16,53.75,,19.66,0.47,0.44,0.45,87.01,4.64,64.69,-0.21,3.83,26.67,8.46,251.81,254.12,3.86,2.62
1989,Oregon,,,,16.64,,,,0.16,54.02,,19.87,0.48,0.45,0.47,87.01,4.7,67.44,-0.04,3.51,26.73,7.65,255.88,257.31,3.77,2.55
1990,Oregon,,,,16.46,,,,0.16,58.16,,19.96,0.46,0.43,0.45,86.95,4.76,66.12,-0.02,3.74,26.73,8.21,265.5,266.31,3.92,2.69
1991,Oregon,,,,16.09,,,,0.16,54.4,,19.79,0.46,0.43,0.45,86.97,4.7,66.69,0.07,3.75,26.73,8.07,265.69,267.88,3.95,2.7
1992,Oregon,,,,16.33,,,,0.19,56.02,,19.84,0.44,0.41,0.44,86.9,4.82,63.75,0.4,4.56,26.68,9.3,234.06,236.88,3.91,2.66
1993,Oregon,,,,15.86,,,,0.2,55.45,,19.96,0.51,0.48,0.51,86.91,4.76,71.0,0.03,3.14,26.72,6.73,224.62,226.94,3.91,2.65
1994,Oregon,,,,16.59,,,,0.16,52.17,,19.87,0.47,0.44,0.45,86.91,4.64,65.69,-0.1,3.81,26.71,8.37,256.5,257.81,3.88,2.65
1995,Oregon,,,,16.02,,,,0.14,58.59,,19.86,0.5,0.47,0.5,86.82,5.0,68.88,0.94,4.33,26.71,8.28,232.88,234.56,4.16,2.85
1996,Oregon,,,,16.38,,,,0.15,57.9,,20.02,0.55,0.51,0.54,86.83,5.0,70.0,0.89,4.16,26.67,7.83,244.12,245.69,4.12,2.8
1997,Oregon,,,,16.82,,,,0.14,56.52,,20.55,0.59,0.53,0.56,86.94,5.25,71.25,1.37,4.41,26.71,7.95,242.25,243.69,3.94,2.67
1998,Oregon,,,,16.35,,,,0.16,57.23,,20.45,0.58,0.52,0.55,86.76,5.31,72.5,1.48,4.39,26.72,7.77,234.0,235.94,3.88,2.64
1999,Oregon,,,,16.81,,,,0.16,55.37,,20.52,0.57,0.52,0.55,86.96,4.82,68.75,0.33,3.69,26.73,7.46,238.12,240.5,4.08,2.77
2000,Oregon,,,,16.71,,,,0.16,55.54,,20.36,0.52,0.48,0.5,86.95,4.94,69.06,0.71,4.08,26.69,8.07,249.88,252.19,3.8,2.59
2001,Oregon,81.03,5.77,18.19,15.67,10.81,0.22,,0.14,58.53,101.45,20.0,0.41,0.39,0.4,86.92,4.64,63.25,-0.24,3.98,26.73,8.92,249.12,251.44,3.88,2.66
2002,Oregon,84.68,5.56,20.39,16.53,11.23,0.22,,0.13,53.03,101.39,20.06,0.41,0.39,0.39,86.98,4.39,61.06,-0.87,3.64,26.73,8.92,262.88,264.44,3.95,2.7
2003,Oregon,81.48,5.44,18.94,15.78,10.87,0.22,,0.13,56.51,101.23,19.95,0.41,0.4,0.41,86.91,4.82,63.56,0.36,4.59,26.72,9.58,243.75,245.75,3.91,2.68
2004,Oregon,81.78,5.41,19.28,15.84,10.87,0.21,,0.14,56.49,101.34,19.93,0.45,0.42,0.44,86.96,5.0,66.5,0.96,4.73,26.68,9.26,260.38,262.38,3.8,2.59
2005,Oregon,81.26,5.41,19.37,15.76,10.82,0.21,,0.14,55.21,101.75,20.05,0.45,0.43,0.45,86.9,4.7,65.56,0.19,4.05,26.72,8.53,231.44,234.56,3.78,2.56
2006,Oregon,81.84,5.24,19.51,15.94,10.88,0.22,,0.14,54.84,100.84,19.92,0.49,0.45,0.48,86.9,4.76,65.12,0.14,4.05,26.72,8.51,225.44,227.56,4.06,2.77
2007,Oregon,82.77,5.51,19.46,16.12,11.01,0.22,,0.13,55.22,101.05,19.93,0.45,0.42,0.44,86.98,4.7,64.5,-0.06,3.97,26.71,8.71,257.38,258.56,3.86,2.63
2008,Oregon,80.98,5.49,19.18,15.85,10.74,0.21,,0.15,56.03,100.22,19.88,0.45,0.41,0.43,86.95,4.52,64.56,-0.7,3.34,26.67,8.02,257.38,258.88,4.02,2.73
2009,Oregon,81.63,5.55,19.19,16.02,10.81,0.22,,0.13,56.12,100.14,19.88,0.44,0.41,0.43,86.94,4.58,63.06,-0.59,3.57,26.71,8.42,248.5,250.56,4.02,2.75
2010,Oregon,78.52,5.63,17.58,15.3,10.49,0.2,,0.14,61.89,100.92,19.99,0.45,0.42,0.45,86.75,4.7,66.88,0.06,3.74,26.72,8.1,224.81,227.62,4.14,2.84
2011,Oregon,79.98,5.58,18.74,15.62,10.62,0.21,,0.14,56.19,100.51,19.92,0.48,0.45,0.47,86.9,4.64,67.31,-0.17,3.37,26.72,7.52,250.19,251.5,3.94,2.68
2012,Oregon,80.91,5.2,19.72,15.89,10.68,0.21,,0.13,52.11,99.8,19.8,0.47,0.44,0.46,86.85,4.76,64.94,0.09,4.07,26.68,8.65,233.69,235.38,4.12,2.8
2013,Oregon,82.05,5.14,20.59,16.05,10.87,0.21,,0.14,49.07,100.92,19.94,0.46,0.43,0.45,87.06,4.76,65.38,-0.0,3.87,26.73,8.37,267.81,269.94,3.74,2.54
2014,Oregon,80.89,5.15,19.72,15.84,10.71,0.21,,0.13,53.5,100.51,19.84,0.47,0.44,0.47,86.94,5.13,65.69,1.19,5.03,26.73,9.42,247.0,249.38,4.01,2.73
2015,Oregon,82.21,5.24,20.12,16.08,10.84,0.21,,0.13,52.52,100.24,19.78,0.47,0.44,0.45,86.97,5.07,64.19,1.11,5.19,26.73,9.79,254.75,256.62,3.7,2.49
2016,Oregon,81.91,4.94,20.39,16.0,10.88,0.22,,0.14,52.91,101.48,20.01,0.47,0.44,0.46,86.92,4.94,67.44,0.85,4.52,26.68,8.84,230.19,232.06,4.09,2.79
2017,Oregon,79.59,5.11,19.14,15.57,10.55,0.21,,0.15,53.9,99.89,19.76,0.49,0.45,0.48,86.9,5.0,67.44,0.65,4.31,26.72,8.46,225.44,227.44,4.15,2.82
2018,Oregon,81.27,5.23,19.63,15.94,10.74,0.21,,0.14,51.67,99.87,19.8,0.45,0.41,0.43,86.99,4.7,64.0,0.2,4.28,26.72,8.98,254.38,256.31,3.91,2.66
2019,Oregon,80.59,5.03,19.65,15.75,10.7,0.21,,0.16,54.35,100.97,19.94,0.45,0.42,0.45,86.86,4.82,66.12,0.28,4.02,26.72,8.35,255.06,258.38,3.84,2.62
2020,Oregon,82.17,5.21,20.32,16.16,10.77,0.21,,0.12,51.25,99.33,19.73,0.42,0.4,0.4,87.03,4.58,61.38,-0.31,4.17,26.68,9.33,258.75,260.25,3.98,2.72
2021,Oregon,82.89,5.16,20.22,16.35,10.82,0.21,,0.13,54.23,99.03,19.7,0.4,0.38,0.37,86.92,4.64,59.94,-0.27,4.46,26.72,10.02,261.56,263.38,4.12,2.82
2022,Oregon,81.08,5.4,19.75,15.89,10.66,0.21,,0.13,52.96,100.52,19.93,0.39,0.38,0.37,87.0,4.52,59.25,-0.74,4.09,26.73,9.63,254.25,256.06,4.0,2.73
1981,California,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1982,California,,,,,,,,,,,,0.53,0.55,0.49,98.52,5.68,52.38,4.76,10.76,,16.39,347.81,294.31,2.41,1.52
1983,California,,,,,,,,,,,,0.57,0.59,0.53,98.47,6.23,56.06,6.12,11.68,,16.9,302.19,270.5,2.49,1.57
1984,California,,,,19.1,,,,0.16,38.98,,21.07,0.48,0.48,0.38,98.53,5.25,45.12,3.71,11.1,29.53,18.4,305.69,290.19,2.52,1.61
1985,California,,,,19.45,,,,0.17,37.35,,21.56,0.48,0.48,0.38,98.57,4.88,43.44,2.8,10.4,29.56,17.79,301.44,281.75,2.4,1.52
1986,California,,,,19.48,,,,0.18,34.27,,21.6,0.5,0.52,0.41,98.55,5.31,44.88,3.66,11.15,29.56,18.32,310.56,277.38,2.44,1.53
1987,California,,,,19.34,,,,0.17,37.48,,21.29,0.45,0.45,0.32,98.52,5.0,42.19,2.87,10.76,29.56,18.65,293.38,276.38,2.52,1.6
1988,California,,,,19.02,,,,0.16,40.7,,20.94,0.46,0.46,0.34,98.58,5.07,41.62,3.22,11.14,29.53,18.92,294.56,277.44,2.49,1.59
1989,California,,,,19.91,,,,0.16,32.8,,21.61,0.45,0.46,0.34,98.61,4.94,41.56,2.65,10.55,29.58,18.27,316.5,291.69,2.44,1.55
1990,California,,,,20.06,,,,0.16,32.85,,21.66,0.44,0.44,0.3,98.58,4.82,40.12,2.25,10.36,29.58,18.44,305.94,288.69,2.41,1.54
1991,California,,,,19.89,,,,0.17,31.99,,21.69,0.45,0.46,0.35,98.55,5.19,43.81,3.44,10.85,29.58,18.07,284.75,269.5,2.48,1.57
1992,California,,,,19.27,,,,0.2,37.77,,21.38,0.48,0.48,0.37,98.48,5.8,46.19,4.94,12.06,29.54,19.06,273.5,262.81,2.45,1.55
1993,California,,,,19.71,,,,0.18,35.83,,22.01,0.52,0.53,0.43,98.51,5.62,48.31,4.37,11.26,29.57,17.89,300.44,272.06,2.51,1.58
1994,California,,,,19.51,,,,0.18,37.34,,21.77,0.45,0.46,0.35,98.55,5.07,43.75,3.14,10.76,29.56,18.22,296.88,274.56,2.38,1.51
1995,California,,,,19.43,,,,0.18,38.69,,21.86,0.52,0.54,0.41,98.49,6.04,50.44,5.45,12.05,29.56,18.4,301.75,268.81,2.44,1.54
1996,California,,,,19.68,,,,0.15,36.2,,21.96,0.5,0.52,0.4,98.51,5.68,47.31,4.69,11.92,29.52,18.96,327.12,294.38,2.54,1.61
1997,California,,,,20.47,,,,0.17,34.39,,22.26,0.52,0.52,0.41,98.51,5.74,47.0,4.95,12.01,29.56,18.95,310.69,293.44,2.52,1.6
1998,California,,,,19.38,,,,0.17,39.17,,22.39,0.53,0.55,0.48,98.51,6.23,55.81,5.89,11.45,29.57,16.78,301.75,281.81,2.4,1.54
1999,California,,,,20.25,,,,0.18,31.91,,22.18,0.45,0.45,0.34,98.61,5.07,43.44,3.08,10.67,29.58,18.13,305.31,287.06,2.42,1.55
2000,California,,,,20.11,,,,0.18,35.45,,22.19,0.46,0.47,0.37,98.57,5.55,46.88,4.44,11.51,29.54,18.48,305.5,283.69,2.37,1.52
2001,California,101.11,4.45,25.67,19.7,13.05,0.28,,0.17,34.95,112.18,21.89,0.47,0.47,0.36,98.52,5.55,45.69,4.42,11.73,29.58,18.89,282.94,269.06,2.42,1.55
2002,California,101.59,4.75,25.72,19.95,13.02,0.28,,0.17,32.79,111.35,21.87,0.48,0.48,0.36,98.57,5.25,44.44,3.73,11.26,29.59,18.6,287.19,275.0,2.38,1.52
2003,California,98.88,4.88,24.5,19.3,12.74,0.27,,0.17,38.31,111.52,21.8,0.47,0.48,0.37,98.52,5.74,46.0,4.74,12.01,29.58,19.07,300.69,282.12,2.37,1.52
2004,California,101.08,4.27,26.26,19.78,13.02,0.28,,0.17,32.8,112.17,21.95,0.48,0.48,0.38,98.53,5.37,44.94,4.13,11.51,29.53,18.71,290.94,276.06,2.5,1.59
2005,California,98.36,4.62,24.46,19.1,12.71,0.27,,0.17,37.32,111.65,21.72,0.52,0.54,0.45,98.52,6.16,51.06,5.98,12.33,29.57,18.34,297.38,274.94,2.34,1.48
2006,California,98.59,4.9,24.48,19.17,12.71,0.27,,0.17,36.96,111.62,21.76,0.52,0.54,0.45,98.55,5.98,49.56,5.16,11.77,29.57,17.99,269.44,260.12,2.32,1.47
2007,California,102.84,4.36,27.13,20.12,13.2,0.29,,0.17,30.88,112.1,21.93,0.44,0.44,0.32,98.58,5.13,41.5,3.19,11.02,29.56,18.77,305.38,289.31,2.44,1.56
2008,California,102.37,4.36,26.61,20.03,13.12,0.29,,0.17,31.27,111.26,21.78,0.48,0.48,0.37,98.55,5.13,43.69,3.3,11.11,29.53,18.69,310.0,290.12,2.52,1.61
2009,California,101.38,4.54,26.18,19.85,13.0,0.28,,0.17,32.45,111.48,21.83,0.48,0.48,0.37,98.52,5.43,45.06,4.13,11.48,29.56,18.62,305.94,286.94,2.45,1.56
2010,California,98.16,4.61,24.38,19.12,12.7,0.27,,0.17,39.15,111.74,21.83,0.52,0.53,0.45,98.47,5.74,51.19,5.09,11.44,29.57,17.48,301.62,282.94,2.45,1.56
2011,California,100.29,4.59,25.84,19.54,12.91,0.28,,0.17,33.02,112.07,21.88,0.54,0.55,0.48,98.57,5.8,50.31,4.93,11.27,29.58,17.14,302.94,281.06,2.31,1.48
2012,California,102.2,4.26,26.94,19.98,13.12,0.29,,0.17,30.31,111.87,21.88,0.45,0.45,0.32,98.53,5.13,41.88,3.27,11.26,29.54,19.05,290.88,277.69,2.43,1.56
2013,California,104.59,4.1,28.65,20.51,13.34,0.28,,0.17,25.69,111.86,21.91,0.45,0.45,0.3,98.56,5.0,39.19,2.76,11.08,29.58,19.23,291.75,281.56,2.44,1.58
2014,California,101.99,4.65,26.14,19.95,13.09,0.28,,0.17,34.02,111.68,21.85,0.43,0.43,0.29,98.51,5.37,39.88,3.8,12.21,29.58,20.45,284.19,274.94,2.45,1.58
2015,California,99.7,4.7,25.52,19.5,12.77,0.27,,0.16,34.29,111.05,21.73,0.45,0.45,0.34,98.51,5.8,43.69,5.07,12.58,29.58,19.88,285.56,276.75,2.31,1.49
2016,California,101.61,4.48,26.33,19.91,13.04,0.28,,0.17,32.8,111.53,21.85,0.49,0.51,0.38,98.56,5.68,46.44,4.8,12.17,29.54,19.26,303.88,285.38,2.41,1.53
2017,California,99.55,4.71,24.99,19.39,12.77,0.28,,0.17,37.52,111.03,21.64,0.55,0.56,0.45,98.51,6.16,48.25,5.65,12.65,29.57,19.29,303.06,282.38,2.47,1.58
2018,California,101.26,4.6,25.79,19.79,12.96,0.28,,0.17,34.2,111.03,21.7,0.45,0.46,0.34,98.54,5.43,42.25,3.9,11.88,29.57,19.64,297.0,283.38,2.36,1.52
2019,California,99.78,4.6,25.46,19.47,12.81,0.27,,0.16,35.38,111.41,21.76,0.52,0.53,0.41,98.46,5.92,48.5,4.9,11.88,29.57,18.5,264.38,261.38,2.46,1.57
2020,California,99.47,4.85,24.76,19.38,12.61,0.27,,0.17,37.71,109.03,21.35,0.45,0.46,0.32,98.57,5.43,42.81,4.01,11.84,29.53,19.32,288.56,274.81,2.3,1.48
2021,California,102.25,4.49,25.86,19.88,13.0,0.28,,0.17,36.73,110.57,21.61,0.45,0.45,0.31,98.51,5.31,42.25,3.83,11.8,29.57,19.66,282.19,271.94,2.38,1.53
2022,California,104.27,4.29,27.02,20.1,13.33,0.29,,0.17,34.55,112.48,21.79,0.47,0.48,0.35,98.56,5.49,42.25,4.2,12.11,29.58,19.8,305.31,288.31,2.38,1.54
1981,Nevada,,,,,,,,,,,,0.37,0.38,0.31,78.21,3.36,45.31,-5.53,1.45,,9.03,263.88,261.62,3.77,2.6
1982,Nevada,,,,,,,,,,,,0.4,0.4,0.38,78.11,3.66,52.0,-5.06,0.49,,6.48,257.25,256.19,3.96,2.76
1983,Nevada,,,,,,,,,,,,0.45,0.45,0.44,78.07,4.03,57.75,-3.47,1.43,,6.58,244.88,244.0,3.97,2.75
1984,Nevada,,,,17.06,,,,0.21,56.05,,21.21,0.42,0.43,0.4,78.21,3.97,54.0,-4.13,1.17,28.5,7.05,278.81,278.69,3.82,2.66
1985,Nevada,,,,18.2,,,,0.21,48.41,,21.37,0.38,0.38,0.33,78.22,3.11,45.62,-6.63,0.24,28.54,7.6,278.75,274.69,3.76,2.59
1986,Nevada,,,,17.76,,,,0.16,52.96,,21.04,0.38,0.38,0.32,78.25,3.42,45.81,-5.49,1.28,28.54,8.68,259.5,256.88,3.83,2.65
1987,Nevada,,,,17.67,,,,0.19,54.17,,21.03,0.38,0.39,0.33,78.24,3.42,47.44,-5.77,0.83,28.54,8.02,272.94,271.0,3.68,2.55
1988,Nevada,,,,17.72,,,,0.21,54.3,,20.77,0.4,0.41,0.38,78.31,3.54,47.94,-5.2,1.18,28.51,7.95,274.88,273.56,3.83,2.64
1989,Nevada,,,,18.25,,,,0.18,49.33,,21.21,0.36,0.37,0.31,78.29,3.17,43.06,-6.68,0.49,28.56,8.1,269.5,266.88,3.73,2.58
1990,Nevada,,,,18.17,,,,0.2,52.77,,21.14,0.35,0.35,0.31,78.23,3.3,43.75,-6.37,0.55,28.56,8.08,273.94,273.25,3.84,2.66
1991,Nevada,,,,17.49,,,,0.19,53.73,,21.13,0.37,0.37,0.34,78.23,3.42,46.94,-5.65,0.73,28.56,7.58,278.31,276.56,3.85,2.67
1992,Nevada,,,,17.65,,,,0.23,51.3,,20.9,0.36,0.37,0.31,78.24,3.54,46.75,-5.23,1.37,28.51,8.55,251.5,247.75,3.69,2.55
1993,Nevada,,,,18.17,,,,0.24,46.49,,21.19,0.38,0.38,0.32,78.19,3.17,47.25,-6.49,0.08,28.55,7.16,257.0,254.62,3.97,2.73
1994,Nevada,,,,17.55,,,,0.21,50.49,,21.0,0.36,0.37,0.31,78.22,3.17,44.19,-6.41,0.73,28.54,8.35,243.31,241.38,3.82,2.64
1995,Nevada,,,,17.68,,,,0.18,52.23,,21.16,0.4,0.41,0.34,78.2,3.66,49.31,-4.77,1.39,28.54,7.87,250.88,249.25,3.95,2.73
1996,Nevada,,,,17.86,,,,0.19,51.55,,21.15,0.37,0.38,0.3,78.21,3.36,45.0,-5.77,1.23,28.5,8.94,270.19,268.19,4.02,2.79
1997,Nevada,,,,18.38,,,,0.2,49.73,,21.75,0.38,0.38,0.35,78.23,3.6,48.25,-4.98,1.37,28.54,8.37,274.19,273.62,3.99,2.77
1998,Nevada,,,,17.68,,,,0.2,56.48,,21.79,0.4,0.41,0.38,78.09,3.91,53.38,-4.2,1.17,28.55,7.12,236.25,235.0,3.87,2.68
1999,Nevada,,,,18.26,,,,0.2,47.33,,21.56,0.37,0.38,0.3,78.28,3.17,41.5,-6.83,0.51,28.56,8.3,260.25,259.62,4.12,2.86
2000,Nevada,,,,18.39,,,,0.19,47.47,,21.53,0.36,0.36,0.31,78.26,3.3,44.12,-6.02,1.14,28.52,8.88,253.44,251.06,4.05,2.8
2001,Nevada,91.52,5.44,22.59,18.31,12.38,0.27,,0.2,50.78,110.22,22.18,0.37,0.38,0.3,78.24,3.3,44.62,-6.0,1.26,28.56,9.04,251.0,247.94,3.95,2.72
