State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars)
Arizona,2020,374311.8,7186683,52084
Arizona,2019,337214.1,7070511,47693
Arizona,2018,315459.0,6969944,45260
Arizona,2016,279696.7,6801591,41122
Arizona,2015,267474.1,6714328,39836
Arizona,2014,253711.6,6638196,38220
Arizona,2013,242030.3,6563216,36877
Arizona,2012,236431.4,6507351,36333
Arizona,2011,227203.3,6446537,35244
Arizona,2009,212283.6,6343154,33467
Arizona,2008,223495.1,6280362,35586
Arizona,2007,219579.1,6167681,35602
Arizona,2005,187724.9,5839077,32150
Arizona,2003,156408.8,5510364,28384
Arizona,2004,170443.0,5652404,30154
Arizona,2002,147455.2,5396255,27325
Arizona,2001,142097.8,5273477,26946
Arizona,2000,135573.8,5160586,26271
Arizona,1998,117835.0,4883342,24130
Arizona,1997,107797.5,4736990,22757
Arizona,1996,99450.0,4586940,21681
Arizona,1994,84205.6,4245089,19836
Arizona,1993,76933.2,4065440,18924
Arizona,1992,71608.0,3915740,18287
Arizona,1991,67229.6,3788576,17745
Arizona,1990,63797.7,3684097,17317
Arizona,1989,60776.8,3622184,16779
Arizona,1987,52270.2,3437103,15208
Arizona,1986,48697.7,3308261,14720
Arizona,1983,35454.9,2968924,11942
Arizona,1982,32161.4,2889860,11129
Arizona,1981,30223.3,2810108,10755
Arizona,1979,22987.0,2638582,8712
Arizona,1978,19559.6,2517852,7768
Arizona,1977,16646.8,2427310,6858
Arizona,1976,14813.2,2347976,6309
Arizona,1975,13317.8,2286348,5825
Arkansas,2023,166721.8,3067732,54347
Arkansas,1980,17396.3,2288738,7601
Arkansas,2006,82891.6,2821761,29376
Arkansas,1984,24446.5,2319767,10538
Arkansas,2017,123825.4,2990801,41402
Arkansas,1985,25982.3,2327046,11165
Arkansas,1995,47112.2,2535399,18582
Arkansas,1974,9353.5,2100385,4453
Arkansas,2021,156361.5,3028443,51631
Arkansas,1999,57922.1,2651860,21842
Arkansas,2010,94127.0,2921561,32218
Arkansas,1988,30489.8,2342655,13015
Arkansas,1975,10292.1,2158291,4769
Arkansas,1976,11378.9,2168688,5247
Arkansas,1977,12661.8,2207228,5736
Arkansas,1978,14668.8,2241019,6546
Arkansas,1979,16089.1,2269115,7090
Arkansas,1981,19703.0,2293204,8592
Arkansas,1982,20696.5,2294254,9021
Arkansas,1983,21946.8,2305766,9518
Arkansas,1986,27303.0,2331988,11708
Arkansas,1987,28356.9,2342357,12106
Arkansas,1989,32694.8,2346354,13934
Arkansas,1990,34456.2,2356586,14621
Arkansas,1991,36494.3,2383144,15313
Arkansas,1992,39697.5,2415984,16431
Arkansas,1993,41622.8,2456303,16945
Arkansas,1994,44252.2,2494019,17743
Arkansas,1996,49969.5,2572109,19427
Arkansas,1997,52480.6,2601090,20176
Arkansas,1998,55686.3,2626289,21203
Arkansas,2000,60886.2,2678588,22731
Arkansas,2001,64168.6,2691571,23841
Arkansas,2002,65698.8,2705927,24280
Arkansas,2004,74308.7,2749686,27024
Arkansas,2003,69656.4,2724816,25564
Arkansas,2005,77990.4,2781097,28043
Arkansas,2007,88410.7,2848650,31036
Arkansas,2008,92435.6,2874554,32157
Arkansas,2009,90992.3,2896843,31411
Arkansas,2011,100449.5,2938833,34180
Arkansas,2012,107007.4,2948887,36287
Arkansas,2013,107209.3,2954685,36285
Arkansas,2014,113171.5,2961191,38218
Arkansas,2015,116632.4,2970352,39266
Arkansas,2016,119758.8,2980602,40179
Arkansas,2018,128970.8,2997271,43029
Arkansas,2019,131439.2,3004248,43751
Arkansas,2020,142111.7,3014348,47145
Arkansas,2022,160254.2,3046404,52604
California,1988,557618.0,28464250,19590
California,2010,1609997.5,37322360,43138
California,1999,1022682.7,33499204,30529
California,2021,3013676.9,39145060,76987
California,1974,142507.4,21172548,6731
California,1995,779604.7,31696582,24596
California,1985,443888.5,26441107,16788
California,2017,2295048.7,39424071,58214
California,1984,410321.6,25844397,15877
California,2006,1493217.0,36021202,41454
California,1980,284416.7,23800800,11950
California,2023,3133678.9,38965193,80423
California,2022,3006647.3,39040616,77013
California,2020,2767521.4,39503200,70058
California,2019,2537950.6,39547996,64174
California,2018,2411055.1,39535906,60984
California,2016,2191138.0,39223210,55863
California,2015,2097049.6,38966055,53817
California,2014,1955718.0,38636290,50619
California,2013,1840885.3,38291358,48076
California,2012,1814763.0,37970368,47794
California,2011,1713428.0,37650514,45509
California,2009,1539818.7,36961229,41660
California,2008,1588294.5,36604337,43391
California,2007,1561307.2,36250311,43070
California,2005,1387883.8,35827943,38737
California,2003,1240604.2,35253159,35191
California,2004,1315172.2,35574576,36969
California,2002,1187280.9,34871843,34047
California,2001,1169366.4,34479458,33915
California,2000,1127550.1,33987977,33175
California,1998,953360.5,32987675,28901
California,1997,876440.3,32486010,26979
California,1996,828147.2,32018834,25864
California,1994,741651.8,31484435,23556
California,1993,719014.9,31274928,22990
California,1992,702023.5,30974659,22664
California,1991,666607.6,30470736,21877
California,1990,643623.8,29959515,21483
California,1989,600193.6,29218165,20542
California,1987,511613.0,27777160,18418
California,1986,476484.5,27102238,17581
California,1983,369925.8,25360023,14587
California,1982,342144.7,24820007,13785
California,1981,319356.9,24285933,13150
California,1979,250181.6,23255069,10758
California,1978,220640.1,22838960,9661
California,1977,194032.9,22350247,8681
California,1976,174924.8,21934505,7975
California,1975,157639.9,21536715,7320
Colorado,2023,463852.1,5877610,78918
Colorado,1980,32052.6,2908803,11019
Colorado,2006,188197.0,4720423,39869
Colorado,1984,47578.7,3169995,15009
Colorado,2017,303366.7,5600169,54171
Colorado,1985,50442.4,3208726,15720
Colorado,1995,95469.0,3826653,24948
Colorado,1974,15609.2,2541318,6142
Colorado,2021,417967.7,5811596,71920
Colorado,1999,131712.8,4226018,31167
Colorado,2010,206053.4,5047005,40827
Colorado,1988,57482.9,3262280,17620
Colorado,1975,17249.7,2586144,6670
Colorado,1976,18981.3,2632244,7211
Colorado,1977,21174.2,2696007,7854
Colorado,1978,24413.5,2766725,8824
Colorado,1979,27973.9,2849181,9818
Colorado,1981,36843.0,2977899,12372
Colorado,1982,40468.9,3061562,13218
Colorado,1983,43691.7,3133634,13943
Colorado,1986,52397.1,3237448,16185
Colorado,1987,54179.3,3260477,16617
Colorado,1989,61922.1,3275815,18903
Colorado,1990,65631.6,3307618,19843
Colorado,1991,69632.9,3387119,20558
Colorado,1992,75511.8,3495939,21600
Colorado,1993,81698.8,3613734,22608
Colorado,1994,87838.9,3724168,23586
Colorado,1996,102974.9,3919972,26269
Colorado,1997,110721.5,4018293,27554
Colorado,1998,122577.9,4116639,29776
Colorado,2000,146560.8,4326921,33872
Colorado,2001,154066.7,4425687,34812
Colorado,2002,154492.3,4490406,34405
Colorado,2003,157405.3,4528732,34757
Colorado,2004,163568.5,4575013,35753
Colorado,2005,174247.8,4631888,37619
Colorado,2007,200611.2,4803868,41760
Colorado,2008,210065.8,4889730,42961
Colorado,2009,200170.0,4972195,40258
Colorado,2011,223873.9,5119188,43732
Colorado,2012,236033.0,5188703,45490
Colorado,2013,247816.7,5263512,47082
Colorado,2014,268453.1,5342996,50244
Colorado,2015,279696.0,5442196,51394
Colorado,2016,283678.7,5529161,51306
Colorado,2018,328112.7,5677250,57794
Colorado,2019,351373.2,5735934,61258
Colorado,2020,375157.8,5785219,64848
Colorado,2022,442213.0,5841039,75708
Connecticut,1988,77602.1,3271954,23717
Connecticut,2010,219801.3,3580279,61392
Connecticut,1999,133690.1,3386401,39479
Connecticut,2021,292370.9,3603691,81131
Connecticut,1974,21157.2,3075784,6879
Connecticut,1995,105483.8,3324144,31733
Connecticut,1985,59933.9,3201131,18723
Connecticut,2017,249451.1,3607615,69146
Connecticut,1984,55764.3,3180014,17536
Connecticut,2006,187213.1,3517460,53224
Connecticut,1980,38512.1,3113174,12371
Connecticut,2023,316311.2,3617176,87447
Connecticut,2022,300750.7,3608706,83340
Connecticut,2020,278373.6,3577586,77810
Connecticut,2019,267552.8,3607159,74173
Connecticut,2018,260582.2,3611318,72157
Connecticut,2016,243698.7,3607688,67550
Connecticut,2015,239184.9,3611995,66220
Connecticut,2014,233084.0,3614695,64482
Connecticut,2013,223834.3,3610314,61999
Connecticut,2012,229133.1,3605259,63555
Connecticut,2011,226305.8,3594193,62964
Connecticut,2009,212233.8,3561807,59586
Connecticut,2008,214658.2,3545579,60543
Connecticut,2007,201450.4,3527270,57112
Connecticut,2005,173328.8,3506956,49424
Connecticut,2004,164657.4,3496094,47098
Connecticut,2003,156438.6,3484336,44898
Connecticut,2002,154452.8,3458749,44656
Connecticut,2001,154585.9,3432835,45032
Connecticut,2000,146216.9,3411777,42857
Connecticut,1998,126666.4,3365352,37638
Connecticut,1997,117285.4,3349348,35017
Connecticut,1996,110516.0,3336685,33122
Connecticut,1994,99992.5,3316121,30153
Connecticut,1993,97257.7,3309175,29390
Connecticut,1992,94201.4,3300712,28540
Connecticut,1991,87907.6,3302895,26615
Connecticut,1990,86883.1,3291967,26392
Connecticut,1989,84161.9,3283404,25633
Connecticut,1986,64498.7,3223741,20007
Connecticut,1987,70109.8,3247290,21590
Connecticut,1983,49957.3,3162355,15797
Connecticut,1982,46620.4,3139014,14852
Connecticut,1981,43179.2,3128837,13800
Connecticut,1979,33816.5,3099907,10909
Connecticut,1978,30080.9,3094839,9720
Connecticut,1977,27032.7,3088729,8752
Connecticut,1976,24536.4,3085984,7951
Connecticut,1975,22725.5,3084726,7367
Delaware,2023,67477.8,1031890,65392
Delaware,1980,6434.0,594919,10815
Delaware,2006,35003.1,859268,40736
Delaware,1984,8954.9,611565,14643
Delaware,2017,48077.1,961499,50002
Delaware,1985,9723.7,618279,15727
Delaware,1995,18157.1,729734,24882
Delaware,1974,3747.1,583150,6426
Delaware,2021,59172.3,1004881,58885
Delaware,1999,24116.7,774990,31119
Delaware,2010,36980.8,899762,41101
Delaware,1988,12247.5,647621,18912
Delaware,1975,4029.2,588756,6844
Delaware,1976,4404.0,592755,7430
Delaware,1977,4741.1,594821,7971
Delaware,1978,5201.6,598188,8696
Delaware,1979,5718.3,598830,9549
Delaware,1981,7083.8,595974,11886
Delaware,1982,7621.2,599148,12720
Delaware,1983,8132.0,605459,13431
Delaware,1987,11139.9,636946,17490
Delaware,1986,10349.5,627559,16492
Delaware,1989,13621.0,658274,20692
Delaware,1990,14370.2,669567,21462
Delaware,1991,15216.4,683080,22276
Delaware,1992,15849.8,694925,22808
Delaware,1993,16458.4,706378,23300
Delaware,1994,17157.6,717545,23912
Delaware,1996,19406.1,740977,26190
Delaware,1997,20306.5,751487,27022
Delaware,1998,22475.7,763335,29444
Delaware,2000,26586.9,786373,33810
Delaware,2001,29374.8,795699,36917
Delaware,2002,30360.3,806169,37660
Delaware,2003,31071.8,818003,37985
Delaware,2004,32271.3,830803,38843
Delaware,2005,33073.3,845150,39133
Delaware,2007,36211.4,871749,41539
Delaware,2008,36462.9,883874,41254
Delaware,2009,36610.7,891730,41056
Delaware,2011,39760.6,908169,43781
Delaware,2012,40122.6,916572,43775
Delaware,2013,40677.8,925599,43948
Delaware,2014,42422.9,935160,45364
Delaware,2015,44626.3,944596,47244
Delaware,2016,45928.4,953030,48192
Delaware,2018,51150.4,971072,52674
Delaware,2019,52740.7,981297,53746
Delaware,2020,55338.4,991862,55792
Delaware,2022,64406.6,1019459,63177
District of Columbia,1988,14289.3,630432,22666
District of Columbia,2010,38212.4,604795,63182
District of Columbia,2021,65205.6,669037,97462
District of Columbia,1999,22625.2,570213,39679
District of Columbia,1995,18588.9,580517,32021
District of Columbia,1974,5768.7,720755,8004
District of Columbia,1985,11764.0,634549,18539
District of Columbia,2017,54158.7,680945,79535
District of Columbia,2006,31606.5,570681,55384
District of Columbia,1984,11098.9,633382,17523
District of Columbia,1980,8446.9,638284,13234
District of Columbia,2023,68514.6,678972,100909
District of Columbia,2020,60178.6,670839,89707
District of Columbia,2022,64472.8,670949,96092
District of Columbia,2019,57492.3,687408,83636
District of Columbia,2018,56395.7,685632,82254
District of Columbia,2016,52190.6,673833,77453
District of Columbia,2015,49741.7,665633,74728
District of Columbia,2014,46124.0,654557,70466
District of Columbia,2013,43213.8,644755,67024
District of Columbia,2012,42582.3,631132,67470
District of Columbia,2009,35540.0,592228,60011
District of Columbia,2011,41361.1,617794,66950
District of Columbia,2008,35167.5,580236,60609
District of Columbia,2007,34095.7,574404,59358
District of Columbia,2005,29880.4,567136,52686
District of Columbia,2004,28379.7,567754,49986
District of Columbia,2003,26138.6,568502,45978
District of Columbia,2002,25863.4,573158,45124
District of Columbia,2001,25742.9,574504,44809
District of Columbia,2000,24827.6,572046,43401
District of Columbia,1998,21514.7,565230,38064
District of Columbia,1997,20243.5,567736,35657
District of Columbia,1996,19345.9,572377,33799
District of Columbia,1994,18457.7,589239,31325
District of Columbia,1993,18044.2,595301,30311
District of Columbia,1992,17350.7,597565,29036
District of Columbia,1991,16540.3,600870,27527
District of Columbia,1990,15808.9,605321,26117
District of Columbia,1989,15131.5,624168,24243
District of Columbia,1987,13015.3,636930,20434
District of Columbia,1986,12380.8,638269,19397
District of Columbia,1983,10187.2,632433,16108
District of Columbia,1982,9672.8,634174,15253
District of Columbia,1981,9074.2,636893,14248
District of Columbia,1979,8001.4,655616,12204
District of Columbia,1978,7604.4,670046,11349
District of Columbia,1977,7137.5,681768,10469
District of Columbia,1976,6648.1,696305,9548
District of Columbia,1975,6274.7,710308,8834
Florida,2023,1543131.7,22610726,68248
Florida,1980,99906.5,9839835,10153
Florida,1984,153545.4,11039925,13908
Florida,2006,690506.1,18166990,38009
Florida,2017,1011002.2,20871785,48439
Florida,1985,168155.2,11351120,14814
Florida,1974,47883.1,8317034,5757
Florida,1995,341123.1,14537875,23464
Florida,1999,435930.4,15759421,27662
Florida,2021,1376879.5,21830708,63071
Florida,2010,730690.1,18842884,38778
Florida,1988,216350.7,12306400,17580
Florida,1975,52167.9,8541660,6107
Florida,1976,57012.4,8695356,6557
Florida,1977,63844.3,8888958,7182
Florida,1978,73633.3,9131554,8064
Florida,1979,84679.4,9470585,8941
Florida,1981,115554.5,10192775,11337
Florida,1982,124862.1,10471405,11924
Florida,1983,138140.3,10749849,12850
Florida,1986,181983.5,11667503,15597
Florida,1987,195918.1,11997282,16330
Florida,1989,240834.9,12637718,19057
Florida,1990,257601.1,13033307,19765
Florida,1991,268849.1,13369798,20109
Florida,1992,284090.3,13650553,20812
Florida,1993,301152.0,13927185,21623
Florida,1994,317382.6,14239444,22289
Florida,1996,363064.8,14853360,24443
Florida,1997,385679.2,15186304,25397
Florida,1998,416721.5,15486559,26909
Florida,2000,471588.1,16047515,29387
Florida,2001,497335.4,16356966,30405
Florida,2002,514288.8,16689370,30815
Florida,2003,540366.3,17004085,31779
Florida,2004,587003.0,17415318,33706
Florida,2005,637602.8,17842038,35736
Florida,2007,719734.2,18367842,39184
Florida,2008,725995.0,18527305,39185
Florida,2011,769798.4,19039100,40433
Florida,2009,685982.8,18652644,36777
Florida,2012,794071.1,19271885,41204
Florida,2013,794604.1,19507621,40733
Florida,2014,848535.3,19795405,42865
Florida,2015,905450.5,20145580,44945
Florida,2016,938985.6,20537931,45720
Florida,2018,1078010.6,21133562,51009
Florida,2019,1145460.8,21354519,53640
Florida,2022,1441598.9,22245521,64804
Florida,2020,1221121.6,21591299,56556
Georgia,1988,100730.7,6316139,15948
Georgia,2010,337420.5,9712576,34741
Georgia,2021,606113.6,10790385,56172
Georgia,1999,218718.6,8045965,27184
Georgia,1995,162763.6,7328413,22210
Georgia,1974,25067.8,4994870,5019
Georgia,1985,78653.7,5962639,13191
Georgia,2017,467592.5,10428498,44838
Georgia,2006,316548.8,9155813,34574
Georgia,1984,71797.6,5834943,12305
Georgia,1980,47202.1,5486174,8604
Georgia,2023,646108.0,11029227,58581
Georgia,2020,552248.9,10732390,51456
Georgia,2022,617553.0,10913150,56588
Georgia,2019,516552.1,10642947,48535
Georgia,2018,491088.0,10532566,46626
Georgia,2016,441039.1,10318225,42744
Georgia,2015,423242.0,10191467,41529
Georgia,2014,398585.7,10077700,39551
Georgia,2013,374124.6,9980513,37486
Georgia,2012,369040.2,9906963,37251
Georgia,2011,360456.2,9805488,36761
Georgia,2008,335257.5,9504843,35272
Georgia,2009,329158.9,9620846,34213
Georgia,2007,331363.7,9349988,35440
Georgia,2005,297084.9,8925922,33283
Georgia,2004,280462.4,8769252,31982
Georgia,2003,265622.8,8622793,30805
Georgia,2002,255977.2,8508256,30086
Georgia,2001,248742.5,8377038,29693
Georgia,2000,236616.8,8227303,28760
Georgia,1998,205294.0,7863536,26107
Georgia,1997,187175.8,7685099,24356
Georgia,1996,175804.6,7501069,23437
Georgia,1994,150802.6,7157165,21070
Georgia,1993,140056.5,6978240,20070
Georgia,1992,131894.4,6817203,19347
Georgia,1991,121970.8,6653005,18333
