State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars)
Illinois,1980,125258.2,11434702,10954
Illinois,1984,168502.7,11412128,14765
Illinois,2006,506021.6,12643955,40021
Illinois,2017,685632.7,12924504,53049
Illinois,1985,177117.0,11399803,15537
Illinois,1974,73216.4,11273745,6494
Illinois,1995,307441.8,12008437,25602
Illinois,1999,382605.3,12359020,30958
Illinois,2021,853520.9,12690341,67258
Illinois,2010,540880.9,12845511,42107
Illinois,1988,212484.8,11390186,18655
Illinois,1976,86832.3,11360274,7644
Illinois,1975,79866.3,11306351,7064
Illinois,1977,95459.7,11406312,8369
Illinois,1978,105341.7,11434421,9213
Illinois,1979,115574.1,11422782,10118
Illinois,1981,138770.5,11443461,12127
Illinois,1982,146908.4,11423413,12860
Illinois,1983,153072.8,11408817,13417
Illinois,1986,186323.0,11387256,16362
Illinois,1987,196407.5,11391176,17242
Illinois,1989,226699.9,11409782,19869
Illinois,1990,240791.7,11453316,21024
Illinois,1991,246145.7,11568964,21276
Illinois,1992,265620.0,11694184,22714
Illinois,1993,275147.9,11809579,23299
Illinois,1994,289797.8,11912585,24327
Illinois,1996,326997.9,12101997,27020
Illinois,1997,345582.2,12185715,28360
Illinois,1998,366594.1,12271847,29873
Illinois,2000,411220.9,12434161,33072
Illinois,2001,427182.4,12488445,34206
Illinois,2002,432381.6,12525556,34520
Illinois,2003,440480.1,12556006,35081
Illinois,2004,457834.3,12589773,36366
Illinois,2005,475646.2,12609903,37720
Illinois,2007,535102.6,12695866,42148
Illinois,2009,525793.9,12796778,41088
Illinois,2008,551159.7,12747038,43238
Illinois,2011,568230.3,12892740,44074
Illinois,2012,593814.2,12928106,45932
Illinois,2013,605681.6,12960987,46731
Illinois,2014,629465.0,12970348,48531
Illinois,2015,657080.2,12964764,50682
Illinois,2016,664686.8,12946698,51340
Illinois,2018,722686.6,12888646,56072
Illinois,2019,741717.2,12850150,57721
Illinois,2022,851243.1,12582515,67653
Illinois,2020,787487.8,12790357,61569
Indiana,1988,85855.2,5491733,15634
Indiana,2010,231025.6,6491352,35590
Indiana,2021,387919.3,6813798,56931
Indiana,1999,160465.8,6044969,26545
Indiana,1995,128816.7,5851459,22014
Indiana,1974,29274.3,5349886,5472
Indiana,1985,71781.8,5459214,13149
Indiana,2017,297990.5,6685900,44570
Indiana,2006,208373.7,6332669,32905
Indiana,1984,67944.4,5458322,12448
Indiana,1980,51434.6,5490721,9368
Indiana,2023,411992.6,6862199,60038
Indiana,2020,351106.6,6789098,51716
Indiana,2022,398522.6,6832274,58329
Indiana,2019,326386.7,6761742,48270
Indiana,2018,313127.2,6725753,46556
Indiana,2016,287275.2,6658366,43145
Indiana,2015,279385.7,6628556,42149
Indiana,2014,269159.1,6609839,40721
Indiana,2013,259534.8,6581101,39436
Indiana,2012,256284.7,6546242,39150
Indiana,2011,245731.2,6521259,37682
Indiana,2008,226602.3,6424806,35270
Indiana,2009,220908.7,6459325,34200
Indiana,2007,215919.9,6379599,33845
Indiana,2005,196999.0,6278616,31376
Indiana,2004,191088.3,6233007,30657
Indiana,2003,182458.0,6196638,29445
Indiana,2002,177918.8,6155967,28902
Indiana,2001,175229.8,6127760,28596
Indiana,2000,171032.1,6091866,28075
Indiana,1998,154521.8,5998880,25758
Indiana,1997,143320.1,5955267,24066
Indiana,1996,136090.9,5906013,23043
Indiana,1994,123234.3,5793526,21271
Indiana,1993,115996.3,5739019,20212
Indiana,1992,110062.5,5674547,19396
Indiana,1991,101844.8,5616388,18134
Indiana,1990,98724.6,5557798,17763
Indiana,1989,93483.7,5523679,16924
Indiana,1987,79994.1,5473023,14616
Indiana,1986,75602.9,5454103,13862
Indiana,1983,61292.8,5450396,11246
Indiana,1982,58406.0,5467918,10682
Indiana,1981,56385.0,5480440,10288
Indiana,1979,47804.3,5474909,8732
Indiana,1978,43398.4,5446403,7968
Indiana,1977,38900.9,5405075,7197
Indiana,1975,31607.5,5351080,5907
Indiana,1976,35131.6,5371552,6540
Iowa,2023,199959.7,3207004,62351
Iowa,1980,28010.1,2914018,9612
Iowa,1984,36915.9,2858615,12914
Iowa,2006,101998.6,2982644,34197
Iowa,2017,147911.5,3162621,46769
Iowa,1985,38212.6,2829684,13504
Iowa,1974,16225.0,2867941,5657
Iowa,1995,61256.4,2867373,21363
Iowa,1999,74998.7,2917634,25705
Iowa,2021,185621.7,3197944,58044
Iowa,2010,116535.7,3051447,38190
Iowa,1988,42726.7,2768393,15434
Iowa,1976,19280.3,2903770,6640
Iowa,1975,18133.7,2881425,6293
Iowa,1977,21275.3,2914308,7300
Iowa,1978,24537.2,2919008,8406
Iowa,1979,26300.0,2916803,9017
Iowa,1981,31683.5,2907985,10895
Iowa,1982,32545.0,2888190,11268
Iowa,1983,33176.1,2870547,11557
Iowa,1986,39474.4,2791969,14139
Iowa,1987,41225.1,2767006,14899
Iowa,1989,46504.2,2770590,16785
Iowa,1990,49020.2,2781018,17627
Iowa,1991,50210.9,2797613,17948
Iowa,1992,53763.2,2818401,19076
Iowa,1993,54005.6,2836972,19036
Iowa,1994,58888.9,2850746,20657
Iowa,1996,66724.7,2880000,23168
Iowa,1997,69908.2,2891119,24180
Iowa,1998,73147.5,2902872,25198
Iowa,2000,80082.6,2929067,27341
Iowa,2001,82519.7,2931997,28145
Iowa,2002,84518.2,2934234,28804
Iowa,2003,86330.6,2941999,29344
Iowa,2004,93377.9,2953635,31615
Iowa,2005,96080.0,2964454,32411
Iowa,2007,109069.0,2999212,36366
Iowa,2008,116112.8,3016734,38490
Iowa,2009,112963.4,3032870,37246
Iowa,2011,125499.8,3069937,40880
Iowa,2012,131137.0,3082570,42541
Iowa,2013,133435.1,3102253,43012
Iowa,2014,137733.5,3121583,44123
Iowa,2015,142521.2,3136111,45445
Iowa,2016,143839.9,3149432,45672
Iowa,2018,154686.0,3171441,48775
Iowa,2019,158118.5,3183831,49663
Iowa,2022,192742.4,3199693,60238
Iowa,2020,167778.9,3190904,52580
Kansas,1988,40671.3,2461995,16520
Kansas,2010,113843.0,2858822,39822
Kansas,2021,172071.0,2937946,58568
Kansas,1999,71968.6,2678338,26871
Kansas,1995,58056.3,2601007,22321
Kansas,1974,13262.0,2267881,5848
Kansas,1985,35247.4,2427401,14521
Kansas,2017,141311.8,2927419,48272
Kansas,2006,97838.9,2762931,35411
Kansas,1984,33489.2,2424088,13815
Kansas,1980,23879.6,2369039,10080
Kansas,2023,187406.4,2940546,63732
Kansas,2020,161704.7,2938124,55037
Kansas,2022,177474.7,2936716,60433
Kansas,2019,152926.2,2933747,52127
Kansas,2018,147407.4,2931572,50283
Kansas,2016,136753.6,2927230,46718
Kansas,2015,136189.1,2922671,46597
Kansas,2014,134773.9,2911506,46290
Kansas,2013,132519.0,2901661,45670
Kansas,2012,129849.7,2891101,44914
Kansas,2011,123198.9,2872476,42889
Kansas,2009,111558.9,2832704,39382
Kansas,2008,115298.3,2808076,41060
Kansas,2007,105082.6,2783785,37748
Kansas,2005,88784.0,2745299,32340
Kansas,2004,84076.9,2734373,30748
Kansas,2003,81768.2,2723004,30029
Kansas,2002,79285.4,2713535,29218
Kansas,2001,78490.8,2702162,29047
Kansas,2000,75870.8,2693681,28166
Kansas,1998,69711.2,2660598,26201
Kansas,1997,65703.5,2635292,24932
Kansas,1996,61821.0,2614554,23645
Kansas,1994,55684.2,2580513,21579
Kansas,1993,53268.1,2556547,20836
Kansas,1991,47367.3,2498722,18957
Kansas,1992,50913.1,2532394,20105
Kansas,1990,45745.1,2481349,18436
Kansas,1989,43063.2,2472838,17414
Kansas,1987,38509.6,2445367,15748
Kansas,1986,36949.9,2432614,15189
Kansas,1983,30554.6,2415529,12649
Kansas,1982,29313.5,2401207,12208
Kansas,1981,27038.4,2384853,11338
Kansas,1979,21715.6,2347370,9251
Kansas,1978,19014.3,2332815,8151
Kansas,1977,17182.1,2317836,7413
Kansas,1975,14487.6,2278621,6358
Kansas,1976,15746.2,2298645,6850
Kentucky,2023,245888.9,4526154,54326
Kentucky,1980,29879.5,3664221,8154
Kentucky,1984,41024.2,3695459,11101
Kentucky,2006,128584.1,4219239,30476
Kentucky,2017,180836.1,4475723,40404
Kentucky,1985,42799.3,3694816,11584
Kentucky,1974,16052.2,3417039,4698
Kentucky,1995,74960.3,3887427,19283
Kentucky,1999,93175.0,4018053,23189
Kentucky,2021,232362.6,4507600,51549
Kentucky,2010,144335.6,4349138,33187
Kentucky,1988,50536.9,3680002,13733
Kentucky,1975,17479.2,3468755,5039
Kentucky,1976,19544.4,3530443,5536
Kentucky,1977,21933.9,3575001,6135
Kentucky,1978,24444.0,3611382,6769
Kentucky,1979,27454.3,3643655,7535
Kentucky,1981,33220.5,3670395,9051
Kentucky,1982,35387.1,3683449,9607
Kentucky,1983,36765.0,3694469,9951
Kentucky,1986,44002.1,3687805,11932
Kentucky,1987,46347.1,3683330,12583
Kentucky,1989,54313.7,3677318,14770
Kentucky,1990,57664.6,3694048,15610
Kentucky,1992,65508.4,3765469,17397
Kentucky,1991,60894.9,3722328,16359
Kentucky,1993,68068.6,3812206,17855
Kentucky,1994,71532.5,3849088,18584
Kentucky,1996,79482.5,3919535,20279
Kentucky,1997,84466.3,3952747,21369
Kentucky,1998,89403.1,3985390,22433
Kentucky,2000,100475.1,4049021,24815
Kentucky,2001,103997.8,4068132,25564
Kentucky,2002,106551.9,4089875,26053
Kentucky,2003,109765.9,4117170,26661
Kentucky,2004,116214.1,4146101,28030
Kentucky,2005,121734.5,4182742,29104
Kentucky,2007,134209.9,4256672,31529
Kentucky,2008,140837.7,4289878,32830
Kentucky,2009,138999.7,4317074,32198
Kentucky,2011,151379.9,4374212,34607
Kentucky,2012,156564.9,4394010,35631
Kentucky,2013,157905.4,4415821,35759
Kentucky,2014,164862.1,4428679,37226
Kentucky,2015,172269.4,4443606,38768
Kentucky,2016,175275.6,4457599,39321
Kentucky,2018,186931.1,4487233,41658
Kentucky,2019,195419.7,4498141,43445
Kentucky,2022,234281.9,4511563,51929
Kentucky,2020,211966.8,4508155,47019
Louisiana,1988,56826.7,4288859,13250
Louisiana,2010,173007.3,4544800,38067
Louisiana,2021,252319.2,4627047,54531
Louisiana,1999,101157.7,4460811,22677
Louisiana,1995,85828.4,4378779,19601
Louisiana,1974,17651.8,3820720,4620
Louisiana,1985,53604.9,4408113,12161
Louisiana,2017,203454.9,4678606,43486
Louisiana,2006,144684.4,4302665,33627
Louisiana,1984,51456.4,4400474,11693
Louisiana,1980,37374.1,4223101,8850
Louisiana,2023,261158.9,4573749,57100
Louisiana,2020,233715.0,4652022,50239
Louisiana,2022,250170.6,4588023,54527
Louisiana,2019,219278.0,4664558,47009
Louisiana,2018,212320.8,4670052,45464
Louisiana,2016,197411.9,4685605,42132
Louisiana,2015,198425.9,4670563,42484
Louisiana,2014,197729.8,4648811,42533
Louisiana,2013,189741.3,4628228,40997
Louisiana,2012,187190.7,4603574,40662
Louisiana,2011,178350.9,4577075,38966
Louisiana,2009,165305.6,4491648,36803
Louisiana,2008,170008.6,4435586,38328
Louisiana,2007,158433.0,4375581,36208
Louisiana,2005,137162.4,4576628,29970
Louisiana,2004,127386.9,4552238,27983
Louisiana,2003,122009.9,4521042,26987
Louisiana,2002,118194.3,4497267,26281
Louisiana,2001,114767.4,4477875,25630
Louisiana,2000,106907.7,4471885,23907
Louisiana,1998,98863.5,4440344,22265
Louisiana,1997,94201.5,4421071,21307
Louisiana,1996,89604.0,4398877,20370
Louisiana,1994,81800.6,4347481,18816
Louisiana,1993,76792.1,4316428,17791
Louisiana,1991,68440.4,4253279,16091
Louisiana,1992,73201.4,4293003,17051
Louisiana,1990,64855.0,4221532,15363
Louisiana,1989,60256.0,4252896,14168
Louisiana,1987,53761.2,4344151,12376
Louisiana,1986,53665.0,4406922,12177
Louisiana,1983,48426.2,4395311,11018
Louisiana,1982,46351.4,4352609,10649
Louisiana,1981,43061.1,4283297,10053
Louisiana,1979,32475.0,4139316,7846
Louisiana,1978,28630.8,4073288,7029
Louisiana,1977,25031.4,4015582,6234
Louisiana,1976,22415.5,3951636,5672
Louisiana,1975,19875.1,3886963,5113
Maine,2023,88094.4,1395722,63117
Maine,1980,9655.3,1126860,8568
Maine,1984,13760.9,1155634,11908
Maine,2006,45226.0,1323619,34168
Maine,2017,61740.1,1344851,45909
Maine,1985,14877.3,1162935,12793
Maine,1974,5229.3,1060050,4933
Maine,1995,26123.8,1243480,21009
Maine,1999,32675.4,1266808,25793
Maine,2021,80825.7,1378787,58621
Maine,2010,50487.0,1327961,38018
Maine,1988,19256.8,1203840,15996
Maine,1975,5652.3,1073280,5266
Maine,1976,6447.0,1089960,5915
Maine,1977,7007.6,1105369,6340
Maine,1978,7740.5,1115457,6939
Maine,1979,8589.1,1124927,7635
Maine,1981,10638.5,1133033,9389
Maine,1982,11562.9,1136683,10173
Maine,1983,12470.5,1144772,10893
Maine,1986,16108.1,1170126,13766
Maine,1987,17414.6,1184577,14701
Maine,1989,20984.2,1219961,17201
Maine,1990,21860.8,1231719,17748
Maine,1992,23295.1,1238508,18809
Maine,1991,22261.8,1237081,17995
Maine,1993,24056.4,1242302,19364
Maine,1994,25036.6,1242662,20148
Maine,1996,27577.6,1249060,22079
Maine,1997,29185.4,1254774,23260
Maine,1998,31264.4,1259127,24830
Maine,2000,35091.4,1277072,27478
Maine,2001,37055.0,1285692,28821
Maine,2002,38290.7,1295960,29546
Maine,2003,40162.9,1306513,30740
Maine,2004,42164.5,1313688,32096
Maine,2005,43103.5,1318787,32684
Maine,2007,46979.3,1327040,35402
Maine,2008,49175.8,1330509,36960
Maine,2009,49337.0,1329590,37107
Maine,2011,52539.8,1330029,39503
Maine,2012,53227.3,1330899,39993
Maine,2013,53240.2,1332596,39952
Maine,2014,54984.6,1336530,41140
Maine,2015,57356.5,1335653,42943
Maine,2016,59286.8,1340177,44238
Maine,2018,64463.2,1350525,47732
Maine,2019,67842.2,1357487,49976
Maine,2022,83950.6,1389338,60425
Maine,2020,74042.4,1364517,54263
Maryland,1988,96684.9,4657903,20757
Maryland,2010,287359.4,5791559,49617
Maryland,2021,426367.4,6175045,69047
Maryland,1999,173125.8,5254509,32948
Maryland,1995,137086.6,5070033,27039
Maryland,1974,27902.8,4133341,6751
Maryland,1985,75465.7,4413072,17100
Maryland,2017,356079.0,6112835,58251
Maryland,2006,254883.1,5627367,45293
Maryland,1984,69586.5,4365246,15941
Maryland,1980,48519.3,4227643,11477
Maryland,2023,456408.0,6180253,73849
Maryland,2020,400176.1,6173689,64820
Maryland,2022,432933.4,6163981,70236
Maryland,2019,380342.1,6163628,61707
Maryland,2018,367831.3,6138786,59919
Maryland,2016,344195.1,6079669,56614
Maryland,2015,332956.2,6049289,55041
Maryland,2014,318983.1,6008975,53084
Maryland,2013,309329.5,5962350,51880
Maryland,2012,310420.4,5913919,52490
Maryland,2011,303270.1,5854282,51803
Maryland,2009,277623.6,5730388,48448
Maryland,2008,278708.3,5684965,49026
Maryland,2005,242214.0,5592379,43311
Maryland,2007,265895.1,5653408,47033
Maryland,2004,230279.2,5546935,41515
Maryland,2003,215973.4,5496269,39295
Maryland,2002,206707.3,5440389,37995
Maryland,2001,198926.9,5374691,37012
Maryland,2000,188437.2,5311034,35480
Maryland,1998,163509.0,5204464,31417
Maryland,1997,151432.8,5157328,29363
Maryland,1996,143495.3,5111986,28070
Maryland,1994,131300.7,5023060,26140
Maryland,1993,125400.7,4971889,25222
Maryland,1991,115010.0,4867641,23627
Maryland,1992,120581.7,4923368,24492
Maryland,1990,110892.4,4799770,23104
Maryland,1989,104522.2,4727303,22110
Maryland,1987,87723.3,4565558,19214
Maryland,1986,81514.1,4486956,18167
Maryland,1983,62799.1,4313329,14559
Maryland,1982,58547.2,4282923,13670
Maryland,1981,53995.5,4261905,12669
Maryland,1979,43549.0,4223398,10311
Maryland,1978,39617.2,4211641,9407
Maryland,1977,35675.8,4194639,8505
Maryland,1976,32906.9,4172132,7887
Maryland,1975,30204.1,4157208,7265
Massachusetts,2023,614806.9,7001399,87812
Massachusetts,1980,61411.9,5746075,10688
Massachusetts,1984,91789.3,5840774,15715
Massachusetts,2006,303265.4,6410084,47311
Massachusetts,2017,459778.7,6958374,66076
Massachusetts,1985,99275.1,5880734,16881
Massachusetts,1974,35182.2,5776992,6090
Massachusetts,1995,171515.9,6141445,27928
Massachusetts,1999,219633.3,6317345,34767
Massachusetts,2021,583363.1,6991951,83434
Massachusetts,2010,346269.9,6569537,52708
Massachusetts,1988,127633.8,5979983,21343
Massachusetts,1975,37801.8,5762138,6560
Massachusetts,1976,40688.8,5748868,7078
Massachusetts,1977,44297.9,5744097,7712
Massachusetts,1978,48938.7,5742923,8522
Massachusetts,1979,54486.4,5746188,9482
Massachusetts,1981,68412.2,5768685,11859
Massachusetts,1982,75002.1,5771222,12996
Massachusetts,1983,81459.4,5799405,14046
Massachusetts,1986,107091.8,5902677,18143
Massachusetts,1987,115602.4,5935205,19477
Massachusetts,1989,135075.6,6015478,22455
Massachusetts,1990,139212.6,6022639,23115
Massachusetts,1991,141495.4,6018470,23510
Massachusetts,1992,148383.5,6028709,24613
Massachusetts,1993,154231.9,6060569,25448
Massachusetts,1994,162007.8,6095241,26579
Massachusetts,1996,182243.8,6179756,29490
Massachusetts,1997,193168.9,6226058,31026
Massachusetts,1998,205509.2,6271838,32767
Massachusetts,2000,244147.4,6361104,38381
Massachusetts,2001,254058.1,6397634,39711
Massachusetts,2002,252959.5,6417206,39419
Massachusetts,2003,257918.0,6422565,40158
Massachusetts,2004,270865.5,6412281,42242
Massachusetts,2007,319407.0,6431559,49662
Massachusetts,2005,282138.1,6403290,44061
Massachusetts,2008,333450.5,6468967,51546
Massachusetts,2009,330773.4,6517613,50751
Massachusetts,2011,363076.3,6629863,54764
Massachusetts,2012,376591.2,6692712,56269
Massachusetts,2013,379250.4,6756583,56130
Massachusetts,2014,396488.7,6819480,58141
Massachusetts,2015,422547.6,6865334,61548
Massachusetts,2016,438598.5,6908516,63487
Massachusetts,2018,483954.4,6994054,69195
Massachusetts,2019,507712.7,7016618,72359
Massachusetts,2022,590400.3,6982740,84551
Massachusetts,2020,541420.5,6997713,77371
Michigan,1988,157389.8,9218002,17074
Michigan,2010,352074.3,9880076,35635
Michigan,2021,568132.0,10038117,56597
Michigan,1999,282128.9,9897116,28506
Michigan,1995,229978.8,9676211,23767
Michigan,1974,53913.2,9109374,5918
Michigan,1985,133511.6,9076287,14710
Michigan,2017,454894.8,10049868,45264
Michigan,2006,336842.6,10036081,33563
Michigan,1984,123022.2,9049454,13594
Michigan,1980,94701.8,9255553,10232
Michigan,2023,599366.0,10037261,59714
Michigan,2020,531530.2,10070627,52780
Michigan,2022,572325.1,10033281,57043
Michigan,2019,489493.1,10078236,48569
Michigan,2018,474208.0,10070610,47088
Michigan,2016,441557.2,10016980,44081
Michigan,2015,429284.9,9987137,42984
Michigan,2014,407267.0,9974630,40830
Michigan,2013,390857.9,9947308,39293
Michigan,2012,387339.2,9920751,39043
Michigan,2011,372954.2,9895488,37689
Michigan,2009,339100.0,9901591,34247
Michigan,2008,356356.2,9946889,35826
Michigan,2005,329235.3,10051137,32756
Michigan,2007,346731.9,10001284,34669
Michigan,2004,322698.4,10055315,32092
Michigan,2003,313961.0,10041152,31267
Michigan,2002,306427.1,10015710,30595
Michigan,2001,306670.4,9991120,30694
Michigan,2000,301060.4,9952450,30250
Michigan,1998,268711.9,9847942,27286
Michigan,1997,253075.7,9809051,25800
Michigan,1996,241755.1,9758645,24773
Michigan,1994,217482.0,9597737,22660
Michigan,1993,202230.8,9540114,21198
Michigan,1992,192090.2,9479065,20265
Michigan,1991,181544.4,9400446,19312
Michigan,1990,177358.2,9311319,19048
Michigan,1989,169457.8,9253298,18313
Michigan,1987,147028.8,9187484,16003
Michigan,1986,141960.4,9127774,15553
Michigan,1983,111587.4,9047764,12333
Michigan,1982,104753.9,9115196,11492
Michigan,1981,101183.6,9209287,10987
Michigan,1979,88473.2,9248814,9566
Michigan,1978,80772.9,9201953,8778
Michigan,1977,72465.6,9157247,7913
Michigan,1976,64457.8,9117481,7070
Michigan,1975,57745.1,9107840,6340
Minnesota,2023,412363.7,5737915,71866
Minnesota,1980,42010.5,4085017,10284
Minnesota,1984,59598.9,4157704,14335
Minnesota,2006,203249.5,5163555,39362
Minnesota,2017,301749.0,5605384,53832
Minnesota,1985,63324.0,4184301,15134
Minnesota,1974,23011.8,3898450,5903
Minnesota,1995,113162.9,4660180,24283
Minnesota,1999,147376.2,4873481,30240
Minnesota,2021,381789.1,5717968,66770
Minnesota,2010,225971.6,5312113,42539
Minnesota,1988,75348.5,4296163,17539
Minnesota,1975,24891.1,3925793,6340
Minnesota,1976,26907.1,3956602,6801
Minnesota,1977,30292.7,3979844,7612
Minnesota,1978,33988.9,4004676,8487
Minnesota,1979,37791.8,4038150,9359
Minnesota,1981,46515.7,4111733,11313
Minnesota,1982,49837.6,4131450,12063
Minnesota,1983,52590.3,4141458,12698
Minnesota,1986,66976.2,4205213,15927
Minnesota,1987,71215.9,4235136,16815
Minnesota,1989,82290.3,4338056,18969
Minnesota,1990,87487.0,4389857,19929
Minnesota,1991,90311.7,4440859,20337
Minnesota,1992,96932.7,4495572,21562
Minnesota,1993,99872.6,4555954,21921
Minnesota,1994,107011.9,4610355,23211
Minnesota,1996,121958.5,4712827,25878
Minnesota,1997,128932.8,4763390,27067
Minnesota,1998,140269.1,4813412,29141
Minnesota,2000,159595.4,4933692,32348
Minnesota,2001,166509.0,4982796,33417
Minnesota,2002,170085.2,5018935,33889
Minnesota,2003,177862.3,5053572,35195
Minnesota,2004,188674.9,5087713,37084
Minnesota,2007,215185.4,5207203,41325
Minnesota,2005,193583.8,5119598,37812
Minnesota,2008,225533.5,5247018,42983
Minnesota,2009,216335.4,5281203,40963
Minnesota,2011,241599.5,5352572,45137
Minnesota,2012,255427.7,5388297,47404
Minnesota,2013,257507.8,5430428,47419
Minnesota,2014,270190.2,5473353,49365
Minnesota,2015,282988.0,5509714,51362
Minnesota,2016,288866.6,5556226,51990
Minnesota,2018,317564.8,5650149,56205
Minnesota,2019,329115.6,5686733,57874
Minnesota,2020,349887.4,5710578,61270
Minnesota,2022,393569.0,5714300,68874
Mississippi,1988,30286.1,2580349,11737
Mississippi,2010,92714.4,2970366,31213
Mississippi,2021,137381.7,2949582,46577
Mississippi,1999,58494.4,2828408,20681
Mississippi,1995,47565.2,2722659,17470
Mississippi,1974,9648.1,2378603,4056
Mississippi,1985,25815.0,2588103,9974
Mississippi,2017,109132.8,2983393,36580
Mississippi,2006,80835.7,2904978,27827
Mississippi,1984,24513.9,2578053,9509
Mississippi,1980,18102.7,2525342,7168
Mississippi,2023,141427.7,2939690,48110
Mississippi,2022,136330.2,2938928,46388
Mississippi,2020,125760.5,2958409,42510
Mississippi,2019,116256.3,2968981,39157
Mississippi,2018,111917.8,2974618,37624
Mississippi,2016,106355.5,2984317,35638
Mississippi,2015,104772.2,2984959,35100
Mississippi,2014,103442.7,2987621,34624
Mississippi,2013,101472.1,2986574,33976
Mississippi,2012,99732.8,2982342,33441
Mississippi,2011,96643.4,2977897,32454
Mississippi,2009,89414.0,2958774,30220
Mississippi,2008,90602.5,2947806,30736
Mississippi,2005,77635.0,2905943,26716
Mississippi,2007,86187.0,2928350,29432
Mississippi,2004,73054.9,2889010,25287
Mississippi,2003,69011.9,2868312,24060
Mississippi,2002,66326.2,2858681,23202
Mississippi,2001,65064.1,2852994,22806
Mississippi,2000,61604.9,2848353,21628
Mississippi,1998,56581.1,2804834,20173
Mississippi,1997,53370.6,2777004,19219
Mississippi,1996,50455.3,2748085,18360
Mississippi,1994,44969.5,2688992,16724
Mississippi,1993,41568.6,2655100,15656
Mississippi,1992,39042.6,2623734,14881
Mississippi,1991,36310.8,2598733,13973
Mississippi,1990,34436.5,2578897,13353
Mississippi,1989,32710.7,2574272,12707
Mississippi,1987,28256.1,2588545,10916
Mississippi,1986,26776.3,2593596,10324
Mississippi,1983,22458.0,2567719,8746
Mississippi,1982,21461.8,2556776,8394
Mississippi,1981,20328.9,2539032,8007
Mississippi,1979,16636.7,2507967,6634
Mississippi,1978,14721.6,2488033,5917
Mississippi,1977,13222.2,2459810,5375
Mississippi,1976,11877.6,2430324,4887
Mississippi,1975,10462.8,2399924,4360
Missouri,2023,379838.2,6196156,61302
Missouri,1980,46138.5,4921966,9374
Missouri,1984,65105.0,4975276,13086
Missouri,2006,197834.1,5842704,33860
Missouri,2017,273774.2,6113669,44781
Missouri,1985,69704.0,5000260,13940
Missouri,1974,25774.7,4785391,5386
Missouri,1995,119399.8,5378247,22201
Missouri,1999,146172.5,5561948,26281
Missouri,2021,345961.2,6170393,56068
Missouri,2010,221760.2,5996166,36984
Missouri,1988,82057.1,5081737,16147
Missouri,1975,28212.7,4795383,5883
Missouri,1976,30912.0,4823554,6409
Missouri,1977,34252.4,4845042,7070
Missouri,1978,38129.7,4871171,7828
Missouri,1979,42514.3,4889327,8695
Missouri,1981,51479.8,4932069,10438
Missouri,1982,55043.8,4929456,11166
Missouri,1983,58776.9,4943735,11889
Missouri,1986,73379.1,5023055,14608
Missouri,1987,77025.5,5056702,15232
Missouri,1989,87941.7,5095844,17258
Missouri,1990,91896.5,5128880,17917
Missouri,1991,96075.0,5170800,18580
Missouri,1992,102078.1,5217101,19566
Missouri,1993,106723.4,5271175,20247
Missouri,1994,113256.6,5324497,21271
Missouri,1996,126394.2,5431553,23270
Missouri,1997,134117.8,5481193,24469
Missouri,1998,140839.7,5521765,25506
Missouri,2000,156202.1,5607285,27857
Missouri,2001,161531.2,5641142,28634
Missouri,2002,165389.8,5674825,29144
Missouri,2003,171593.2,5709403,30054
Missouri,2004,180453.8,5747741,31396
Missouri,2005,186770.9,5790300,32256
Missouri,2007,207411.3,5887612,35228
Missouri,2008,219922.0,5923916,37124
Missouri,2009,216424.5,5961088,36306
Missouri,2011,230858.3,6011569,38402
Missouri,2012,240967.8,6026727,39983
Missouri,2013,242493.0,6044003,40121
Missouri,2014,250783.7,6060459,41380
Missouri,2015,259350.0,6077057,42677
Missouri,2016,267048.6,6093349,43826
Missouri,2018,286084.3,6128594,46680
Missouri,2019,297349.1,6143406,48401
Missouri,2020,320592.9,6154426,52091
Missouri,2022,357194.7,6177168,57825
Montana,1988,10679.8,800200,13346
Montana,2010,35670.9,990863,36000
Montana,2021,64542.1,1106366,58337
Montana,1999,19496.9,897507,21723
Montana,1995,16400.0,876553,18710
Montana,1974,4069.9,737203,5521
Montana,1985,9735.9,822320,11840
Montana,2017,48003.3,1057982,45373
Montana,2006,30362.7,952692,31870
Montana,1984,9594.0,820904,11687
Montana,1980,7215.7,788752,9148
Montana,2023,72406.9,1132812,63918
Montana,2022,68477.0,1122878,60984
Montana,2020,58208.8,1087211,53540
Montana,2019,53393.0,1075462,49647
Montana,2018,50352.0,1066542,47211
Montana,2016,45283.3,1045648,43306
Montana,2015,44583.3,1034413,43100
Montana,2014,42901.4,1024998,41855
Montana,2013,40786.0,1015933,40146
Montana,2012,40436.9,1005385,40220
Montana,2011,38082.7,998188,38152
Montana,2009,33926.6,983982,34479
Montana,2008,34730.5,976415,35569
Montana,2007,32646.8,964706,33841
Montana,2005,28052.0,940102,29839
Montana,2004,26072.2,930009,28034
Montana,2003,24015.2,919630,26114
Montana,2002,22350.3,911667,24516
Montana,2001,21685.2,906961,23910
Montana,2000,20770.5,903773,22982
Montana,1998,19125.7,892431,21431
Montana,1997,17910.2,889865,20127
Montana,1996,17173.6,886254,19378
Montana,1994,15574.4,861306,18082
Montana,1993,15154.0,844761,17939
Montana,1992,14009.3,825770,16965
Montana,1991,13216.6,809680,16323
Montana,1989,11763.6,799634,14711
Montana,1990,12379.2,800204,15470
