State,Year,January-December Heating Degree Days (Units Fahrenheit Degree-Days)
New Jersey,2000,5411
New Jersey,2001,5034
New Jersey,2002,4975
New Jersey,2003,5700
New Jersey,2004,5288
New Jersey,2005,5401
New Jersey,2006,4625
New Jersey,2007,5154
New Jersey,2008,5162
New Jersey,2009,5301
New Jersey,2010,5018
New Jersey,2011,4889
New Jersey,2012,4450
New Jersey,2013,5259
New Jersey,2014,5630
New Jersey,2015,5185
New Jersey,2016,4842
New Jersey,2017,4777
New Jersey,2018,5192
New Jersey,2019,5090
New Jersey,2020,4615
New Jersey,2021,4757
New Jersey,2022,5082
New Jersey,2023,4447
New Mexico,1974,4890
New Mexico,1975,5258
New Mexico,1976,5143
New Mexico,1977,4743
New Mexico,1978,4737
New Mexico,1979,5127
New Mexico,1980,4780
New Mexico,1981,4400
New Mexico,1982,4951
New Mexico,1983,4995
New Mexico,1984,4992
New Mexico,1985,4843
New Mexico,1986,4562
New Mexico,1987,5102
New Mexico,1988,4880
New Mexico,1989,4473
New Mexico,1990,4778
New Mexico,1991,4881
New Mexico,1992,4923
New Mexico,1993,4737
New Mexico,1994,4565
New Mexico,1995,4369
New Mexico,1996,4364
New Mexico,1997,4884
New Mexico,1998,4595
New Mexico,1999,4324
New Mexico,2000,4336
New Mexico,2001,4489
New Mexico,2002,4569
New Mexico,2003,4198
New Mexico,2004,4613
New Mexico,2005,4339
New Mexico,2006,4366
New Mexico,2007,4529
New Mexico,2008,4625
New Mexico,2009,4468
New Mexico,2010,4597
New Mexico,2011,4652
New Mexico,2012,4112
New Mexico,2013,4793
New Mexico,2014,4293
New Mexico,2015,4332
New Mexico,2016,4134
New Mexico,2017,3779
New Mexico,2018,4264
New Mexico,2019,4575
New Mexico,2020,4166
New Mexico,2021,4187
New Mexico,2022,4584
New Mexico,2023,4387
New York,1974,6451
New York,1975,6138
New York,1976,6767
New York,1977,6457
New York,1978,6948
New York,1979,6382
New York,1980,6750
New York,1981,6504
New York,1982,6474
New York,1983,6211
New York,1984,6271
New York,1985,6281
New York,1986,6221
New York,1987,6215
New York,1988,6527
New York,1989,6650
New York,1990,5538
New York,1991,5646
New York,1992,6546
New York,1993,6517
New York,1994,6477
New York,1995,6311
New York,1996,6492
New York,1997,6365
New York,1998,5334
New York,1999,5808
New York,2000,6292
New York,2001,5767
New York,2002,5792
New York,2003,6551
New York,2004,6222
New York,2005,6222
New York,2006,5463
New York,2007,6063
New York,2008,6020
New York,2009,6216
New York,2010,5719
New York,2011,5743
New York,2012,5158
New York,2013,6081
New York,2014,6379
New York,2015,6060
New York,2016,5540
New York,2017,5605
New York,2018,6038
New York,2019,6125
New York,2020,5476
New York,2021,5517
New York,2022,5849
New York,2023,5222
North Carolina,1974,3235
North Carolina,1975,3361
North Carolina,1976,3807
North Carolina,1977,3849
North Carolina,1978,4000
North Carolina,1979,3737
North Carolina,1980,3938
North Carolina,1981,4033
North Carolina,1982,3528
North Carolina,1983,3883
North Carolina,1984,3495
North Carolina,1985,3377
North Carolina,1986,3335
North Carolina,1987,3804
North Carolina,1988,3993
North Carolina,1989,3688
North Carolina,1990,2763
North Carolina,1991,3149
North Carolina,1992,3546
North Carolina,1993,3718
North Carolina,1994,3370
North Carolina,1995,3670
North Carolina,1996,3823
North Carolina,1997,3583
North Carolina,1998,3037
North Carolina,1999,3213
North Carolina,2000,3660
North Carolina,2001,3208
North Carolina,2002,3326
North Carolina,2003,3520
North Carolina,2004,3397
North Carolina,2005,3461
North Carolina,2006,3135
North Carolina,2007,3116
North Carolina,2008,3415
North Carolina,2009,3530
North Carolina,2010,3882
North Carolina,2011,3237
North Carolina,2012,2955
North Carolina,2013,3533
North Carolina,2014,3716
North Carolina,2015,3150
North Carolina,2016,3154
North Carolina,2017,2896
North Carolina,2018,3405
North Carolina,2019,3064
North Carolina,2020,2904
North Carolina,2021,3104
North Carolina,2022,3286
North Carolina,2023,2848
North Dakota,1974,9575
North Dakota,1975,9690
North Dakota,1976,9214
North Dakota,1977,9187
North Dakota,1978,10178
North Dakota,1979,10513
North Dakota,1980,9135
North Dakota,1981,8386
North Dakota,1982,10206
North Dakota,1983,9307
North Dakota,1984,9232
North Dakota,1985,10018
North Dakota,1986,8871
North Dakota,1987,7783
North Dakota,1988,9016
North Dakota,1989,9869
North Dakota,1990,8627
North Dakota,1991,8824
North Dakota,1992,8916
North Dakota,1993,9908
North Dakota,1994,9443
North Dakota,1995,9714
North Dakota,1996,10791
North Dakota,1997,9376
North Dakota,1998,8449
North Dakota,1999,8434
North Dakota,2000,9128
North Dakota,2001,8749
North Dakota,2002,9242
North Dakota,2003,9312
North Dakota,2004,9178
North Dakota,2005,8688
North Dakota,2006,8278
North Dakota,2007,8991
North Dakota,2008,9782
North Dakota,2009,9959
North Dakota,2010,9145
North Dakota,2011,9288
North Dakota,2012,8172
North Dakota,2013,10045
North Dakota,2014,9812
North Dakota,2015,8350
North Dakota,2016,8003
North Dakota,2017,8828
North Dakota,2018,9658
North Dakota,2019,10201
North Dakota,2020,8860
North Dakota,2021,8373
North Dakota,2022,9856
North Dakota,2023,8915
Ohio,1974,5937
Ohio,1975,5839
Ohio,1976,6464
Ohio,1977,6312
Ohio,1978,6839
Ohio,1979,6462
Ohio,1980,6551
Ohio,1981,6311
Ohio,1982,6012
Ohio,1983,5999
Ohio,1984,6069
Ohio,1985,5982
Ohio,1986,5655
Ohio,1987,5564
Ohio,1988,6245
Ohio,1989,6346
Ohio,1990,5134
Ohio,1991,5335
Ohio,1992,5879
Ohio,1993,6111
Ohio,1994,5999
Ohio,1995,6220
Ohio,1996,6314
Ohio,1997,6070
Ohio,1998,4853
Ohio,1999,5533
Ohio,2000,5861
Ohio,2001,5337
Ohio,2002,5553
Ohio,2003,6044
Ohio,2004,5689
Ohio,2005,5848
Ohio,2006,5229
Ohio,2007,5550
Ohio,2008,5997
Ohio,2009,5907
Ohio,2010,5867
Ohio,2011,5559
Ohio,2012,4985
Ohio,2013,5903
Ohio,2014,6450
Ohio,2015,5674
Ohio,2016,5238
Ohio,2017,5072
Ohio,2018,5765
Ohio,2019,5571
Ohio,2020,5250
Ohio,2021,5213
Ohio,2022,5698
Ohio,2023,4880
Oklahoma,1974,3573
Oklahoma,1975,3799
Oklahoma,1976,3807
Oklahoma,1977,3658
Oklahoma,1978,4418
Oklahoma,1979,4384
Oklahoma,1980,3852
Oklahoma,1981,3510
Oklahoma,1982,3844
Oklahoma,1983,4298
Oklahoma,1984,3771
Oklahoma,1985,4112
Oklahoma,1986,3429
Oklahoma,1987,3655
Oklahoma,1988,3865
Oklahoma,1989,3975
Oklahoma,1990,3360
Oklahoma,1991,3502
Oklahoma,1992,3394
Oklahoma,1993,4170
Oklahoma,1994,3610
Oklahoma,1995,3628
Oklahoma,1996,3888
Oklahoma,1997,3830
Oklahoma,1998,3382
Oklahoma,1999,3082
Oklahoma,2000,3703
Oklahoma,2001,3494
Oklahoma,2002,3748
Oklahoma,2003,3613
Oklahoma,2004,3343
Oklahoma,2005,3358
Oklahoma,2006,3018
Oklahoma,2007,3541
Oklahoma,2008,3675
Oklahoma,2009,3681
Oklahoma,2010,3777
Oklahoma,2011,3595
Oklahoma,2012,2868
Oklahoma,2013,4000
Oklahoma,2014,3949
Oklahoma,2015,3414
Oklahoma,2016,3039
Oklahoma,2017,2922
Oklahoma,2018,3827
Oklahoma,2019,3742
Oklahoma,2020,3264
Oklahoma,2021,3346
Oklahoma,2022,3669
Oklahoma,2023,3166
Oregon,1974,5546
Oregon,1975,5832
Oregon,1976,5723
Oregon,1977,5601
Oregon,1978,5570
Oregon,1979,5465
Oregon,1980,5538
Oregon,1981,5287
Oregon,1982,5884
Oregon,1983,5440
Oregon,1984,5793
Oregon,1985,6232
Oregon,1986,5169
Oregon,1987,5026
Oregon,1988,5306
Oregon,1989,5532
Oregon,1990,5514
Oregon,1991,5370
Oregon,1992,4647
Oregon,1993,5702
Oregon,1994,5336
Oregon,1995,5002
Oregon,1996,5390
Oregon,1997,5232
Oregon,1998,5282
Oregon,1999,5471
Oregon,2000,5468
Oregon,2001,5365
Oregon,2002,5326
Oregon,2003,5013
Oregon,2004,5018
Oregon,2005,5261
Oregon,2006,5272
Oregon,2007,5494
Oregon,2008,5730
Oregon,2009,5567
Oregon,2010,5399
Oregon,2011,5857
Oregon,2012,5425
Oregon,2013,5419
Oregon,2014,4740
Oregon,2015,4495
Oregon,2016,4883
Oregon,2017,5370
Oregon,2018,5057
Oregon,2019,5426
Oregon,2020,5042
Oregon,2021,5068
Oregon,2022,5291
Oregon,2023,5178
Pennsylvania,1974,5945
Pennsylvania,1975,5856
Pennsylvania,1976,6425
Pennsylvania,1977,6216
Pennsylvania,1978,6654
Pennsylvania,1979,6201
Pennsylvania,1980,6411
Pennsylvania,1981,6310
Pennsylvania,1982,6080
Pennsylvania,1983,6021
Pennsylvania,1984,6029
Pennsylvania,1985,5851
Pennsylvania,1986,5883
Pennsylvania,1987,5878
Pennsylvania,1988,6298
Pennsylvania,1989,6323
Pennsylvania,1990,5151
Pennsylvania,1991,5392
Pennsylvania,1992,6124
Pennsylvania,1993,6115
Pennsylvania,1994,6165
Pennsylvania,1995,6094
Pennsylvania,1996,6263
Pennsylvania,1997,6032
Pennsylvania,1998,4930
Pennsylvania,1999,5577
Pennsylvania,2000,5909
Pennsylvania,2001,5508
Pennsylvania,2002,5531
Pennsylvania,2003,6150
Pennsylvania,2004,5759
Pennsylvania,2005,5873
Pennsylvania,2006,5190
Pennsylvania,2007,5661
Pennsylvania,2008,5800
Pennsylvania,2009,5864
Pennsylvania,2010,5625
Pennsylvania,2011,5458
Pennsylvania,2012,5011
Pennsylvania,2013,5832
Pennsylvania,2014,6290
Pennsylvania,2015,5705
Pennsylvania,2016,5375
Pennsylvania,2017,5253
Pennsylvania,2018,5760
Pennsylvania,2019,5590
Pennsylvania,2020,5186
Pennsylvania,2021,5231
Pennsylvania,2022,5707
Pennsylvania,2023,4939
Rhode Island,1974,6177
Rhode Island,1975,5932
Rhode Island,1976,6458
Rhode Island,1977,6184
Rhode Island,1978,6729
Rhode Island,1979,5954
Rhode Island,1980,6466
Rhode Island,1981,6320
Rhode Island,1982,6274
Rhode Island,1983,5920
Rhode Island,1984,5995
Rhode Island,1985,6130
Rhode Island,1986,6108
Rhode Island,1987,6149
Rhode Island,1988,6336
Rhode Island,1989,6429
Rhode Island,1990,5382
Rhode Island,1991,5475
Rhode Island,1992,6326
Rhode Island,1993,6195
Rhode Island,1994,6143
Rhode Island,1995,6003
Rhode Island,1996,6186
Rhode Island,1997,6082
Rhode Island,1998,5237
Rhode Island,1999,5466
Rhode Island,2000,6003
Rhode Island,2001,5570
Rhode Island,2002,5603
Rhode Island,2003,6347
Rhode Island,2004,6113
Rhode Island,2005,6092
Rhode Island,2006,5320
Rhode Island,2007,5869
Rhode Island,2008,5735
Rhode Island,2009,5961
Rhode Island,2010,5434
Rhode Island,2011,5479
Rhode Island,2012,5005
Rhode Island,2013,5827
Rhode Island,2014,6021
Rhode Island,2015,5880
Rhode Island,2016,5354
Rhode Island,2017,5428
Rhode Island,2018,5639
Rhode Island,2019,5841
Rhode Island,2020,5184
Rhode Island,2021,5220
Rhode Island,2022,5413
Rhode Island,2023,5020
South Carolina,1974,2398
South Carolina,1975,2529
South Carolina,1976,2995
South Carolina,1977,3048
South Carolina,1978,3126
South Carolina,1979,2929
South Carolina,1980,3129
South Carolina,1981,3182
South Carolina,1982,2623
South Carolina,1983,3147
South Carolina,1984,2676
South Carolina,1985,2626
South Carolina,1986,2490
South Carolina,1987,2942
South Carolina,1988,3103
South Carolina,1989,2753
South Carolina,1990,2053
South Carolina,1991,2442
South Carolina,1992,2746
South Carolina,1993,2930
South Carolina,1994,2536
South Carolina,1995,2832
South Carolina,1996,2971
South Carolina,1997,2685
South Carolina,1998,2311
South Carolina,1999,2472
South Carolina,2000,2918
South Carolina,2001,2427
South Carolina,2002,2591
South Carolina,2003,2744
South Carolina,2004,2643
South Carolina,2005,2684
South Carolina,2006,2388
South Carolina,2007,2350
South Carolina,2008,2659
South Carolina,2009,2767
South Carolina,2010,3211
South Carolina,2011,2515
South Carolina,2012,2189
South Carolina,2013,2708
South Carolina,2014,2938
South Carolina,2015,2366
South Carolina,2016,2391
South Carolina,2017,2089
South Carolina,2018,2612
South Carolina,2019,2336
South Carolina,2020,2164
South Carolina,2021,2373
South Carolina,2022,2502
South Carolina,2023,2141
South Dakota,1974,7559
South Dakota,1975,8222
South Dakota,1976,7709
South Dakota,1977,7735
South Dakota,1978,8835
South Dakota,1979,8670
South Dakota,1980,7586
South Dakota,1981,6976
South Dakota,1982,8452
South Dakota,1983,8151
South Dakota,1984,7908
South Dakota,1985,8487
South Dakota,1986,7453
South Dakota,1987,6660
South Dakota,1988,7635
South Dakota,1989,8150
South Dakota,1990,7214
South Dakota,1991,7362
South Dakota,1992,7397
South Dakota,1993,8531
South Dakota,1994,7802
South Dakota,1995,8007
South Dakota,1996,8896
South Dakota,1997,7969
South Dakota,1998,7067
South Dakota,1999,6865
South Dakota,2000,7563
South Dakota,2001,7458
South Dakota,2002,7605
South Dakota,2003,7529
South Dakota,2004,7187
South Dakota,2005,7158
South Dakota,2006,6917
South Dakota,2007,7421
South Dakota,2008,8267
South Dakota,2009,8099
South Dakota,2010,7737
South Dakota,2011,7885
South Dakota,2012,6568
South Dakota,2013,8285
South Dakota,2014,8178
South Dakota,2015,7002
South Dakota,2016,6806
South Dakota,2017,7218
South Dakota,2018,8202
South Dakota,2019,8627
South Dakota,2020,7376
South Dakota,2021,7036
South Dakota,2022,7954
South Dakota,2023,7353
Tennessee,1974,3669
Tennessee,1975,3821
Tennessee,1976,4387
Tennessee,1977,4298
Tennessee,1978,4554
Tennessee,1979,4386
Tennessee,1980,4342
Tennessee,1981,4265
Tennessee,1982,3864
Tennessee,1983,4342
Tennessee,1984,3900
Tennessee,1985,4048
Tennessee,1986,3711
Tennessee,1987,3881
Tennessee,1988,4304
Tennessee,1989,4152
Tennessee,1990,3308
Tennessee,1991,3564
Tennessee,1992,3899
Tennessee,1993,4172
Tennessee,1994,3808
Tennessee,1995,4053
Tennessee,1996,4233
Tennessee,1997,4048
Tennessee,1998,3347
Tennessee,1999,3494
Tennessee,2000,3931
Tennessee,2001,3696
Tennessee,2002,3782
Tennessee,2003,3906
Tennessee,2004,3600
Tennessee,2005,3717
Tennessee,2006,3566
Tennessee,2007,3497
Tennessee,2008,3972
Tennessee,2009,3907
Tennessee,2010,4294
Tennessee,2011,3673
Tennessee,2012,3190
Tennessee,2013,4040
Tennessee,2014,4284
Tennessee,2015,3569
Tennessee,2016,3437
Tennessee,2017,3167
Tennessee,2018,3844
Tennessee,2019,3483
Tennessee,2020,3432
Tennessee,2021,3503
Tennessee,2022,3820
Tennessee,2023,3154
Texas,1974,1915
Texas,1975,1968
Texas,1976,2252
Texas,1977,2102
Texas,1978,2524
Texas,1979,2445
Texas,1980,2129
Texas,1981,1914
Texas,1982,1998
Texas,1983,2394
Texas,1984,1919
Texas,1985,2215
Texas,1986,1818
Texas,1987,2061
Texas,1988,2040
Texas,1989,2158
Texas,1990,1701
Texas,1991,1934
Texas,1992,1875
Texas,1993,2137
Texas,1994,1793
Texas,1995,1806
Texas,1996,1915
Texas,1997,2148
Texas,1998,1728
Texas,1999,1506
Texas,2000,1807
Texas,2001,1905
Texas,2002,2004
Texas,2003,1895
Texas,2004,1774
Texas,2005,1707
Texas,2006,1520
Texas,2007,1855
Texas,2008,1795
Texas,2009,1846
Texas,2010,2149
Texas,2011,1827
Texas,2012,1411
Texas,2013,2014
Texas,2014,2088
Texas,2015,1858
Texas,2016,1501
Texas,2017,1337
Texas,2018,1984
Texas,2019,1879
Texas,2020,1549
Texas,2021,1643
Texas,2022,1949
Texas,2023,1474
Utah,1974,7358
Utah,1975,8040
Utah,1976,7517
Utah,1977,7067
Utah,1978,7312
Utah,1979,7652
Utah,1980,7105
Utah,1981,6645
Utah,1982,7949
Utah,1983,7333
Utah,1984,8226
Utah,1985,7962
Utah,1986,6923
Utah,1987,7007
Utah,1988,7197
Utah,1989,7241
Utah,1990,7139
Utah,1991,7497
Utah,1992,6823
Utah,1993,7713
Utah,1994,6861
Utah,1995,6861
Utah,1996,6975
Utah,1997,7231
Utah,1998,7203
Utah,1999,6841
Utah,2000,6748
Utah,2001,6783
Utah,2002,7318
Utah,2003,6602
Utah,2004,7078
Utah,2005,6908
Utah,2006,7002
Utah,2007,6813
Utah,2008,7454
Utah,2009,7262
Utah,2010,7171
Utah,2011,7507
Utah,2012,6383
Utah,2013,7486
Utah,2014,6510
Utah,2015,6286
Utah,2016,6549
Utah,2017,6641
Utah,2018,6725
Utah,2019,7436
Utah,2020,6693
Utah,2021,6551
Utah,2022,7019
Utah,2023,7169
Vermont,1974,8671
Vermont,1975,8269
Vermont,1976,8951
Vermont,1977,8406
Vermont,1978,9093
Vermont,1979,8226
Vermont,1980,8907
Vermont,1981,8337
Vermont,1982,8572
Vermont,1983,8212
Vermont,1984,8255
Vermont,1985,8542
Vermont,1986,8380
Vermont,1987,8319
Vermont,1988,8552
Vermont,1989,8845
Vermont,1990,7660
Vermont,1991,7856
Vermont,1992,8802
Vermont,1993,8704
Vermont,1994,8689
Vermont,1995,8340
Vermont,1996,8410
Vermont,1997,8692
Vermont,1998,7281
Vermont,1999,7698
Vermont,2000,8400
Vermont,2001,7783
Vermont,2002,7867
Vermont,2003,8631
Vermont,2004,8441
Vermont,2005,8079
Vermont,2006,7355
Vermont,2007,8295
Vermont,2008,8036
Vermont,2009,8284
Vermont,2010,7463
Vermont,2011,7656
Vermont,2012,7064
Vermont,2013,8030
Vermont,2014,8403
Vermont,2015,8190
Vermont,2016,7520
Vermont,2017,7724
Vermont,2018,8104
Vermont,2019,8471
Vermont,2020,7481
Vermont,2021,7426
Vermont,2022,7715
Vermont,2023,7094
Vermont,1974,8671
Vermont,1975,8269
Vermont,1976,8951
Vermont,1977,8406
Vermont,1978,9093
Vermont,1979,8226
Vermont,1980,8907
Vermont,1981,8337
Vermont,1982,8572
Vermont,1983,8212
Vermont,1984,8255
Vermont,1985,8542
Vermont,1986,8380
Vermont,1987,8319
Vermont,1988,8552
Vermont,1989,8845
Vermont,1990,7660
Vermont,1991,7856
Vermont,1992,8802
Vermont,1993,8704
Vermont,1994,8689
Vermont,1995,8340
Vermont,1996,8410
Vermont,1997,8692
Vermont,1998,7281
Vermont,1999,7698
Vermont,2000,8400
Vermont,2001,7783
Vermont,2002,7867
Vermont,2003,8631
Vermont,2004,8441
Vermont,2005,8079
Vermont,2006,7355
Vermont,2007,8295
Vermont,2008,8036
Vermont,2009,8284
Vermont,2010,7463
Vermont,2011,7656
Vermont,2012,7064
Vermont,2013,8030
Vermont,2014,8403
Vermont,2015,8190
Vermont,2016,7520
Vermont,2017,7724
Vermont,2018,8104
Vermont,2019,8471
Vermont,2020,7481
Vermont,2021,7426
Vermont,2022,7715
Vermont,2023,7094
Washington,1974,5851
Washington,1975,6286
Washington,1976,6037
Washington,1977,6037
Washington,1978,5938
Washington,1979,5850
Washington,1980,5873
Washington,1981,5583
Washington,1982,6127
Washington,1983,5701
Washington,1984,6115
Washington,1985,6660
Washington,1986,5565
Washington,1987,5293
Washington,1988,5636
Washington,1989,5797
Washington,1990,5750
Washington,1991,5699
Washington,1992,5175
Washington,1993,5953
Washington,1994,5507
Washington,1995,5353
Washington,1996,6061
Washington,1997,5519
Washington,1998,5303
Washington,1999,5760
Washington,2000,5893
Washington,2001,5820
Washington,2002,5756
Washington,2003,5360
Washington,2004,5238
Washington,2005,5494
Washington,2006,5554
Washington,2007,5837
Washington,2008,6134
Washington,2009,5960
Washington,2010,5577
Washington,2011,6204
Washington,2012,5790
Washington,2013,5751
Washington,2014,5256
Washington,2015,4889
Washington,2016,5126
Washington,2017,5794
Washington,2018,5382
Washington,2019,5750
Washington,2020,5416
Washington,2021,5562
Washington,2022,5788
Washington,2023,5347
West Virginia,1974,5107
West Virginia,1975,5176
West Virginia,1976,5811
West Virginia,1977,5677
West Virginia,1978,5999
West Virginia,1979,5706
West Virginia,1980,5833
West Virginia,1981,5852
West Virginia,1982,5256
West Virginia,1983,5533
West Virginia,1984,5318
West Virginia,1985,5254
West Virginia,1986,5130
West Virginia,1987,5261
West Virginia,1988,5695
West Virginia,1989,5610
West Virginia,1990,4492
West Virginia,1991,4756
West Virginia,1992,5323
West Virginia,1993,5373
West Virginia,1994,5305
West Virginia,1995,5507
West Virginia,1996,5604
West Virginia,1997,5435
West Virginia,1998,4496
West Virginia,1999,4965
West Virginia,2000,5256
West Virginia,2001,4926
West Virginia,2002,4958
West Virginia,2003,5315
West Virginia,2004,4965
West Virginia,2005,5184
West Virginia,2006,4819
West Virginia,2007,4905
West Virginia,2008,5269
West Virginia,2009,5238
West Virginia,2010,5451
West Virginia,2011,4849
West Virginia,2012,4532
West Virginia,2013,5279
West Virginia,2014,5616
West Virginia,2015,4929
West Virginia,2016,4747
West Virginia,2017,4496
West Virginia,2018,5109
West Virginia,2019,4734
West Virginia,2020,4665
West Virginia,2021,4759
West Virginia,2022,5190
West Virginia,2023,4489
Wisconsin,1974,7946
Wisconsin,1975,7850
Wisconsin,1976,8392
Wisconsin,1977,7918
Wisconsin,1978,8503
Wisconsin,1979,8590
Wisconsin,1980,8119
Wisconsin,1981,7646
Wisconsin,1982,8228
Wisconsin,1983,7874
Wisconsin,1984,7754
Wisconsin,1985,8198
Wisconsin,1986,7642
Wisconsin,1987,6857
Wisconsin,1988,7859
Wisconsin,1989,8365
Wisconsin,1990,7170
Wisconsin,1991,7545
Wisconsin,1992,7727
Wisconsin,1993,8122
Wisconsin,1994,7778
Wisconsin,1995,8057
Wisconsin,1996,8556
Wisconsin,1997,7899
Wisconsin,1998,6422
Wisconsin,1999,7071
Wisconsin,2000,7436
Wisconsin,2001,7032
Wisconsin,2002,7330
Wisconsin,2003,7748
Wisconsin,2004,7445
Wisconsin,2005,7319
Wisconsin,2006,6880
Wisconsin,2007,7301
Wisconsin,2008,8169
Wisconsin,2009,7891
Wisconsin,2010,7126
Wisconsin,2011,7523
Wisconsin,2012,6451
Wisconsin,2013,8189
Wisconsin,2014,8679
Wisconsin,2015,7214
Wisconsin,2016,6850
Wisconsin,2017,7096
Wisconsin,2018,7797
Wisconsin,2019,8025
Wisconsin,2020,7186
Wisconsin,2021,6934
Wisconsin,2022,7747
Wisconsin,2023,6631
Wyoming,1974,8540
Wyoming,1975,9108
Wyoming,1976,8522
Wyoming,1977,8289
Wyoming,1978,9177
Wyoming,1979,8976
Wyoming,1980,8343
Wyoming,1981,7673
Wyoming,1982,9015
Wyoming,1983,8766
Wyoming,1984,9018
Wyoming,1985,9262
Wyoming,1986,8122
Wyoming,1987,8088
Wyoming,1988,8188
Wyoming,1989,8579
Wyoming,1990,8354
Wyoming,1991,8381
Wyoming,1992,8017
Wyoming,1993,9251
Wyoming,1994,7968
Wyoming,1995,8409
Wyoming,1996,8648
Wyoming,1997,8555
Wyoming,1998,8129
Wyoming,1999,7834
Wyoming,2000,8200
Wyoming,2001,7988
Wyoming,2002,8588
Wyoming,2003,8021
Wyoming,2004,8033
Wyoming,2005,7964
Wyoming,2006,7979
Wyoming,2007,7995
Wyoming,2008,8744
Wyoming,2009,8630
Wyoming,2010,8271
Wyoming,2011,8645
Wyoming,2012,7417
Wyoming,2013,8516
Wyoming,2014,8245
Wyoming,2015,7583
Wyoming,2016,7678
Wyoming,2017,7895
Wyoming,2018,8177
Wyoming,2019,8906
Wyoming,2020,8069
Wyoming,2021,7865
Wyoming,2022,8441
Wyoming,2023,8247
