State,Year,January-December Cooling Degree Days (Units Fahrenheit Degree-Days)
New Hampshire,1976,228
New Hampshire,1977,186
New Hampshire,1978,213
New Hampshire,1979,241
New Hampshire,1980,250
New Hampshire,1981,214
New Hampshire,1982,158
New Hampshire,1983,305
New Hampshire,1984,275
New Hampshire,1985,186
New Hampshire,1986,138
New Hampshire,1987,196
New Hampshire,1988,333
New Hampshire,1989,224
New Hampshire,1990,274
New Hampshire,1991,264
New Hampshire,1992,123
New Hampshire,1993,263
New Hampshire,1994,325
New Hampshire,1995,319
New Hampshire,1996,237
New Hampshire,1997,200
New Hampshire,1998,277
New Hampshire,1999,370
New Hampshire,2000,138
New Hampshire,2001,300
New Hampshire,2002,338
New Hampshire,2003,317
New Hampshire,2004,216
New Hampshire,2005,403
New Hampshire,2006,319
New Hampshire,2007,244
New Hampshire,2008,274
New Hampshire,2009,192
New Hampshire,2010,394
New Hampshire,2011,345
New Hampshire,2012,372
New Hampshire,2013,349
New Hampshire,2014,248
New Hampshire,2015,332
New Hampshire,2016,377
New Hampshire,2017,251
New Hampshire,2018,441
New Hampshire,2019,330
New Hampshire,2020,417
New Hampshire,2021,381
New Hampshire,2022,421
New Hampshire,2023,353
New Jersey,1974,621
New Jersey,1975,704
New Jersey,1976,633
New Jersey,1977,716
New Jersey,1978,622
New Jersey,1979,610
New Jersey,1980,859
New Jersey,1981,694
New Jersey,1982,546
New Jersey,1983,834
New Jersey,1984,708
New Jersey,1985,659
New Jersey,1986,664
New Jersey,1987,770
New Jersey,1988,829
New Jersey,1989,709
New Jersey,1990,705
New Jersey,1991,885
New Jersey,1992,499
New Jersey,1993,817
New Jersey,1994,774
New Jersey,1995,833
New Jersey,1996,645
New Jersey,1997,603
New Jersey,1998,834
New Jersey,1999,950
New Jersey,2000,604
New Jersey,2001,762
New Jersey,2002,933
New Jersey,2003,766
New Jersey,2004,779
New Jersey,2005,1049
New Jersey,2006,852
New Jersey,2007,868
New Jersey,2008,856
New Jersey,2009,676
New Jersey,2010,1140
New Jersey,2011,1030
New Jersey,2012,1000
New Jersey,2013,842
New Jersey,2014,752
New Jersey,2015,1006
New Jersey,2016,1059
New Jersey,2017,834
New Jersey,2018,1077
New Jersey,2019,1024
New Jersey,2020,1025
New Jersey,2021,1021
New Jersey,2022,1050
New Jersey,2023,832
New Mexico,1974,780
New Mexico,1975,636
New Mexico,1976,670
New Mexico,1977,941
New Mexico,1978,875
New Mexico,1979,695
New Mexico,1980,986
New Mexico,1981,878
New Mexico,1982,845
New Mexico,1983,850
New Mexico,1984,797
New Mexico,1985,800
New Mexico,1986,744
New Mexico,1987,695
New Mexico,1988,735
New Mexico,1989,888
New Mexico,1990,860
New Mexico,1991,680
New Mexico,1992,730
New Mexico,1993,838
New Mexico,1994,1108
New Mexico,1995,871
New Mexico,1996,1006
New Mexico,1997,920
New Mexico,1998,1002
New Mexico,1999,802
New Mexico,2000,1125
New Mexico,2001,1040
New Mexico,2002,1093
New Mexico,2003,1126
New Mexico,2004,812
New Mexico,2005,995
New Mexico,2006,979
New Mexico,2007,995
New Mexico,2008,848
New Mexico,2009,953
New Mexico,2010,1043
New Mexico,2011,1223
New Mexico,2012,1154
New Mexico,2013,1036
New Mexico,2014,987
New Mexico,2015,1064
New Mexico,2016,1067
New Mexico,2017,1030
New Mexico,2018,1214
New Mexico,2019,1120
New Mexico,2020,1261
New Mexico,2021,1073
New Mexico,2022,1174
New Mexico,2023,1284
New York,1974,452
New York,1975,526
New York,1976,442
New York,1977,493
New York,1978,452
New York,1979,463
New York,1980,595
New York,1981,519
New York,1982,384
New York,1983,619
New York,1984,528
New York,1985,446
New York,1986,417
New York,1987,525
New York,1988,624
New York,1989,505
New York,1990,516
New York,1991,642
New York,1992,325
New York,1993,581
New York,1994,572
New York,1995,625
New York,1996,468
New York,1997,450
New York,1998,591
New York,1999,709
New York,2000,379
New York,2001,570
New York,2002,674
New York,2003,565
New York,2004,490
New York,2005,828
New York,2006,625
New York,2007,592
New York,2008,599
New York,2009,455
New York,2010,816
New York,2011,744
New York,2012,730
New York,2013,622
New York,2014,545
New York,2015,733
New York,2016,801
New York,2017,587
New York,2018,803
New York,2019,660
New York,2020,769
New York,2021,746
New York,2022,758
New York,2023,623
North Carolina,1974,1127
North Carolina,1975,1353
North Carolina,1976,1069
North Carolina,1977,1508
North Carolina,1978,1345
North Carolina,1979,1134
North Carolina,1980,1481
North Carolina,1981,1269
North Carolina,1982,1245
North Carolina,1983,1354
North Carolina,1984,1257
North Carolina,1985,1331
North Carolina,1986,1536
North Carolina,1987,1522
North Carolina,1988,1282
North Carolina,1989,1285
North Carolina,1990,1447
North Carolina,1991,1508
North Carolina,1992,1148
North Carolina,1993,1549
North Carolina,1994,1256
North Carolina,1995,1393
North Carolina,1996,1284
North Carolina,1997,1151
North Carolina,1998,1621
North Carolina,1999,1373
North Carolina,2000,1336
North Carolina,2001,1258
North Carolina,2002,1572
North Carolina,2003,1301
North Carolina,2004,1438
North Carolina,2005,1531
North Carolina,2006,1365
North Carolina,2007,1626
North Carolina,2008,1396
North Carolina,2009,1381
North Carolina,2010,1832
North Carolina,2011,1651
North Carolina,2012,1511
North Carolina,2013,1272
North Carolina,2014,1387
North Carolina,2015,1638
North Carolina,2016,1765
North Carolina,2017,1536
North Carolina,2018,1808
North Carolina,2019,1808
North Carolina,2020,1463
North Carolina,2021,1490
North Carolina,2022,1531
North Carolina,2023,1366
North Dakota,1974,426
North Dakota,1975,448
North Dakota,1976,541
North Dakota,1977,455
North Dakota,1978,446
North Dakota,1979,396
North Dakota,1980,442
North Dakota,1981,434
North Dakota,1982,353
North Dakota,1983,619
North Dakota,1984,501
North Dakota,1985,303
North Dakota,1986,390
North Dakota,1987,498
North Dakota,1988,760
North Dakota,1989,544
North Dakota,1990,456
North Dakota,1991,536
North Dakota,1992,202
North Dakota,1993,204
North Dakota,1994,369
North Dakota,1995,468
North Dakota,1996,416
North Dakota,1997,477
North Dakota,1998,532
North Dakota,1999,398
North Dakota,2000,413
North Dakota,2001,509
North Dakota,2002,504
North Dakota,2003,516
North Dakota,2004,245
North Dakota,2005,452
North Dakota,2006,605
North Dakota,2007,525
North Dakota,2008,393
North Dakota,2009,306
North Dakota,2010,439
North Dakota,2011,477
North Dakota,2012,598
North Dakota,2013,468
North Dakota,2014,361
North Dakota,2015,501
North Dakota,2016,489
North Dakota,2017,475
North Dakota,2018,526
North Dakota,2019,392
North Dakota,2020,533
North Dakota,2021,697
North Dakota,2022,531
North Dakota,2023,576
Ohio,1974,565
Ohio,1975,758
Ohio,1976,520
Ohio,1977,803
Ohio,1978,716
Ohio,1979,558
Ohio,1980,790
Ohio,1981,634
Ohio,1982,618
Ohio,1983,875
Ohio,1984,666
Ohio,1985,615
Ohio,1986,743
Ohio,1987,881
Ohio,1988,867
Ohio,1989,639
Ohio,1990,591
Ohio,1991,960
Ohio,1992,456
Ohio,1993,759
Ohio,1994,658
Ohio,1995,874
Ohio,1996,640
Ohio,1997,538
Ohio,1998,845
Ohio,1999,866
Ohio,2000,621
Ohio,2001,709
Ohio,2002,966
Ohio,2003,615
Ohio,2004,655
Ohio,2005,972
Ohio,2006,736
Ohio,2007,903
Ohio,2008,728
Ohio,2009,589
Ohio,2010,1000
Ohio,2011,904
Ohio,2012,963
Ohio,2013,718
Ohio,2014,643
Ohio,2015,792
Ohio,2016,1044
Ohio,2017,733
Ohio,2018,1062
Ohio,2019,945
Ohio,2020,876
Ohio,2021,928
Ohio,2022,863
Ohio,2023,688
Oklahoma,1974,1707
Oklahoma,1975,1638
Oklahoma,1976,1542
Oklahoma,1977,2195
Oklahoma,1978,2158
Oklahoma,1979,1701
Oklahoma,1980,2361
Oklahoma,1981,1900
Oklahoma,1982,1804
Oklahoma,1983,1854
Oklahoma,1984,1837
Oklahoma,1985,1885
Oklahoma,1986,1973
Oklahoma,1987,1828
Oklahoma,1988,1884
Oklahoma,1989,1514
Oklahoma,1990,1928
Oklahoma,1991,1911
Oklahoma,1992,1431
Oklahoma,1993,1775
Oklahoma,1994,1756
Oklahoma,1995,1677
Oklahoma,1996,1766
Oklahoma,1997,1654
Oklahoma,1998,2452
Oklahoma,1999,1853
Oklahoma,2000,2040
Oklahoma,2001,2042
Oklahoma,2002,1801
Oklahoma,2003,1821
Oklahoma,2004,1663
Oklahoma,2005,1941
Oklahoma,2006,2155
Oklahoma,2007,1911
Oklahoma,2008,1764
Oklahoma,2009,1703
Oklahoma,2010,2176
Oklahoma,2011,2480
Oklahoma,2012,2340
Oklahoma,2013,1797
Oklahoma,2014,1814
Oklahoma,2015,1960
Oklahoma,2016,2175
Oklahoma,2017,1854
Oklahoma,2018,2139
Oklahoma,2019,1979
Oklahoma,2020,1784
Oklahoma,2021,1954
Oklahoma,2022,2284
Oklahoma,2023,2065
Oregon,1974,194
Oregon,1975,130
Oregon,1976,109
Oregon,1977,195
Oregon,1978,150
Oregon,1979,177
Oregon,1980,104
Oregon,1981,177
Oregon,1982,128
Oregon,1983,99
Oregon,1984,136
Oregon,1985,196
Oregon,1986,189
Oregon,1987,172
Oregon,1988,169
Oregon,1989,115
Oregon,1990,253
Oregon,1991,229
Oregon,1992,258
Oregon,1993,109
Oregon,1994,226
Oregon,1995,176
Oregon,1996,243
Oregon,1997,216
Oregon,1998,292
Oregon,1999,152
Oregon,2000,154
Oregon,2001,181
Oregon,2002,215
Oregon,2003,308
Oregon,2004,261
Oregon,2005,222
Oregon,2006,240
Oregon,2007,197
Oregon,2008,187
Oregon,2009,267
Oregon,2010,151
Oregon,2011,170
Oregon,2012,208
Oregon,2013,257
Oregon,2014,358
Oregon,2015,371
Oregon,2016,222
Oregon,2017,350
Oregon,2018,286
Oregon,2019,213
Oregon,2020,253
Oregon,2021,372
Oregon,2022,381
Oregon,2023,346
Pennsylvania,1974,485
Pennsylvania,1975,604
Pennsylvania,1976,476
Pennsylvania,1977,610
Pennsylvania,1978,551
Pennsylvania,1979,485
Pennsylvania,1980,705
Pennsylvania,1981,540
Pennsylvania,1982,462
Pennsylvania,1983,688
Pennsylvania,1984,543
Pennsylvania,1985,520
Pennsylvania,1986,576
Pennsylvania,1987,720
Pennsylvania,1988,737
Pennsylvania,1989,577
Pennsylvania,1990,551
Pennsylvania,1991,799
Pennsylvania,1992,402
Pennsylvania,1993,686
Pennsylvania,1994,630
Pennsylvania,1995,743
Pennsylvania,1996,541
Pennsylvania,1997,483
Pennsylvania,1998,690
Pennsylvania,1999,771
Pennsylvania,2000,487
Pennsylvania,2001,623
Pennsylvania,2002,817
Pennsylvania,2003,598
Pennsylvania,2004,630
Pennsylvania,2005,890
Pennsylvania,2006,700
Pennsylvania,2007,739
Pennsylvania,2008,651
Pennsylvania,2009,532
Pennsylvania,2010,905
Pennsylvania,2011,854
Pennsylvania,2012,830
Pennsylvania,2013,672
Pennsylvania,2014,579
Pennsylvania,2015,790
Pennsylvania,2016,914
Pennsylvania,2017,667
Pennsylvania,2018,893
Pennsylvania,2019,817
Pennsylvania,2020,844
Pennsylvania,2021,844
Pennsylvania,2022,809
Pennsylvania,2023,659
Rhode Island,1974,412
Rhode Island,1975,468
Rhode Island,1976,384
Rhode Island,1977,443
Rhode Island,1978,371
Rhode Island,1979,443
Rhode Island,1980,512
Rhode Island,1981,460
Rhode Island,1982,329
Rhode Island,1983,580
Rhode Island,1984,484
Rhode Island,1985,388
Rhode Island,1986,301
Rhode Island,1987,410
Rhode Island,1988,539
Rhode Island,1989,463
Rhode Island,1990,505
Rhode Island,1991,540
Rhode Island,1992,295
Rhode Island,1993,532
Rhode Island,1994,552
Rhode Island,1995,532
Rhode Island,1996,414
Rhode Island,1997,429
Rhode Island,1998,538
Rhode Island,1999,663
Rhode Island,2000,356
Rhode Island,2001,535
Rhode Island,2002,585
Rhode Island,2003,555
Rhode Island,2004,425
Rhode Island,2005,681
Rhode Island,2006,563
Rhode Island,2007,556
Rhode Island,2008,573
Rhode Island,2009,434
Rhode Island,2010,714
Rhode Island,2011,639
Rhode Island,2012,620
Rhode Island,2013,633
Rhode Island,2014,492
Rhode Island,2015,640
Rhode Island,2016,721
Rhode Island,2017,531
Rhode Island,2018,761
Rhode Island,2019,624
Rhode Island,2020,756
Rhode Island,2021,708
Rhode Island,2022,731
Rhode Island,2023,577
South Carolina,1974,1624
South Carolina,1975,1805
South Carolina,1976,1442
South Carolina,1977,1987
South Carolina,1978,1841
South Carolina,1979,1593
South Carolina,1980,1965
South Carolina,1981,1754
South Carolina,1982,1723
South Carolina,1983,1754
South Carolina,1984,1702
South Carolina,1985,1852
South Carolina,1986,2096
South Carolina,1987,1931
South Carolina,1988,1676
South Carolina,1989,1701
South Carolina,1990,1987
South Carolina,1991,1941
South Carolina,1992,1571
South Carolina,1993,2001
South Carolina,1994,1673
South Carolina,1995,1884
South Carolina,1996,1752
South Carolina,1997,1598
South Carolina,1998,2156
South Carolina,1999,1844
South Carolina,2000,1876
South Carolina,2001,1748
South Carolina,2002,2067
South Carolina,2003,1738
South Carolina,2004,1946
South Carolina,2005,1937
South Carolina,2006,1855
South Carolina,2007,2069
South Carolina,2008,1860
South Carolina,2009,1875
South Carolina,2010,2297
South Carolina,2011,2153
South Carolina,2012,1980
South Carolina,2013,1686
South Carolina,2014,1869
South Carolina,2015,2144
South Carolina,2016,2308
South Carolina,2017,2052
South Carolina,2018,2258
South Carolina,2019,2300
South Carolina,2020,1957
South Carolina,2021,1868
South Carolina,2022,1991
South Carolina,2023,1827
South Dakota,1974,664
South Dakota,1975,737
South Dakota,1976,847
South Dakota,1977,757
South Dakota,1978,686
South Dakota,1979,600
South Dakota,1980,782
South Dakota,1981,672
South Dakota,1982,597
South Dakota,1983,861
South Dakota,1984,659
South Dakota,1985,550
South Dakota,1986,623
South Dakota,1987,778
South Dakota,1988,1005
South Dakota,1989,731
South Dakota,1990,695
South Dakota,1991,797
South Dakota,1992,345
South Dakota,1993,408
South Dakota,1994,598
South Dakota,1995,686
South Dakota,1996,553
South Dakota,1997,641
South Dakota,1998,749
South Dakota,1999,654
South Dakota,2000,725
South Dakota,2001,781
South Dakota,2002,862
South Dakota,2003,721
South Dakota,2004,495
South Dakota,2005,813
South Dakota,2006,837
South Dakota,2007,857
South Dakota,2008,627
South Dakota,2009,464
South Dakota,2010,726
South Dakota,2011,748
South Dakota,2012,1006
South Dakota,2013,695
South Dakota,2014,518
South Dakota,2015,690
South Dakota,2016,783
South Dakota,2017,694
South Dakota,2018,756
South Dakota,2019,628
South Dakota,2020,795
South Dakota,2021,910
South Dakota,2022,840
South Dakota,2023,813
Tennessee,1974,1064
Tennessee,1975,1257
Tennessee,1976,960
Tennessee,1977,1527
Tennessee,1978,1397
Tennessee,1979,1116
Tennessee,1980,1572
Tennessee,1981,1264
Tennessee,1982,1234
Tennessee,1983,1362
Tennessee,1984,1210
Tennessee,1985,1286
Tennessee,1986,1507
Tennessee,1987,1508
Tennessee,1988,1331
Tennessee,1989,1139
Tennessee,1990,1313
Tennessee,1991,1467
Tennessee,1992,1018
Tennessee,1993,1389
Tennessee,1994,1160
Tennessee,1995,1362
Tennessee,1996,1210
Tennessee,1997,1126
Tennessee,1998,1632
Tennessee,1999,1446
Tennessee,2000,1426
Tennessee,2001,1271
Tennessee,2002,1553
Tennessee,2003,1224
Tennessee,2004,1290
Tennessee,2005,1481
Tennessee,2006,1403
Tennessee,2007,1739
Tennessee,2008,1336
Tennessee,2009,1245
Tennessee,2010,1777
Tennessee,2011,1518
Tennessee,2012,1553
Tennessee,2013,1215
Tennessee,2014,1272
Tennessee,2015,1460
Tennessee,2016,1764
Tennessee,2017,1368
Tennessee,2018,1722
Tennessee,2019,1651
Tennessee,2020,1391
Tennessee,2021,1399
Tennessee,2022,1519
Tennessee,2023,1362
Texas,1974,2443
Texas,1975,2333
Texas,1976,2119
Texas,1977,2820
Texas,1978,2746
Texas,1979,2311
Texas,1980,2799
Texas,1981,2586
Texas,1982,2630
Texas,1983,2370
Texas,1984,2630
Texas,1985,2724
Texas,1986,2705
Texas,1987,2440
Texas,1988,2558
Texas,1989,2482
Texas,1990,2714
Texas,1991,2598
Texas,1992,2378
Texas,1993,2480
Texas,1994,2597
Texas,1995,2570
Texas,1996,2735
Texas,1997,2519
Texas,1998,3196
Texas,1999,2835
Texas,2000,3004
Texas,2001,2724
Texas,2002,2690
Texas,2003,2690
Texas,2004,2672
Texas,2005,2828
Texas,2006,3000
Texas,2007,2596
Texas,2008,2717
Texas,2009,2837
Texas,2010,2878
Texas,2011,3370
Texas,2012,3096
Texas,2013,2746
Texas,2014,2683
Texas,2015,2908
Texas,2016,3061
Texas,2017,2944
Texas,2018,3015
Texas,2019,2932
Texas,2020,2961
Texas,2021,2816
Texas,2022,3224
Texas,2023,3379
Utah,1974,449
Utah,1975,338
Utah,1976,374
Utah,1977,463
Utah,1978,366
Utah,1979,439
Utah,1980,391
Utah,1981,513
Utah,1982,378
Utah,1983,381
Utah,1984,385
Utah,1985,449
Utah,1986,445
Utah,1987,386
Utah,1988,577
Utah,1989,488
Utah,1990,529
Utah,1991,461
Utah,1992,442
Utah,1993,242
Utah,1994,657
Utah,1995,388
Utah,1996,548
Utah,1997,436
Utah,1998,482
Utah,1999,427
Utah,2000,633
Utah,2001,652
Utah,2002,609
Utah,2003,687
Utah,2004,433
Utah,2005,467
Utah,2006,576
Utah,2007,693
Utah,2008,522
Utah,2009,457
Utah,2010,462
Utah,2011,486
Utah,2012,643
Utah,2013,606
Utah,2014,505
Utah,2015,559
Utah,2016,596
Utah,2017,624
Utah,2018,692
Utah,2019,508
Utah,2020,653
Utah,2021,739
Utah,2022,700
Utah,2023,550
Vermont,1974,156
Vermont,1975,250
Vermont,1976,148
Vermont,1977,133
Vermont,1978,159
Vermont,1979,183
Vermont,1980,180
Vermont,1981,158
Vermont,1982,116
Vermont,1983,207
Vermont,1984,208
Vermont,1985,126
Vermont,1986,107
Vermont,1987,157
Vermont,1988,249
Vermont,1989,172
Vermont,1990,193
Vermont,1991,198
Vermont,1992,72
Vermont,1993,193
Vermont,1994,218
Vermont,1995,256
Vermont,1996,171
Vermont,1997,128
Vermont,1998,196
Vermont,1999,281
Vermont,2000,101
Vermont,2001,219
Vermont,2002,233
Vermont,2003,235
Vermont,2004,165
Vermont,2005,358
Vermont,2006,245
Vermont,2007,176
Vermont,2008,199
Vermont,2009,154
Vermont,2010,286
Vermont,2011,285
Vermont,2012,289
Vermont,2013,259
Vermont,2014,180
Vermont,2015,263
Vermont,2016,285
Vermont,2017,162
Vermont,2018,344
Vermont,2019,233
Vermont,2020,319
Vermont,2021,298
Vermont,2022,294
Vermont,2023,265
Virginia,1974,814
Virginia,1975,993
Virginia,1976,815
Virginia,1977,1144
Virginia,1978,1001
Virginia,1979,823
Virginia,1980,1165
Virginia,1981,924
Virginia,1982,873
Virginia,1983,1060
Virginia,1984,951
Virginia,1985,949
Virginia,1986,1095
Virginia,1987,1223
Virginia,1988,1053
Virginia,1989,998
Virginia,1990,997
Virginia,1991,1229
Virginia,1992,783
Virginia,1993,1175
Virginia,1994,996
Virginia,1995,1106
Virginia,1996,916
Virginia,1997,868
Virginia,1998,1214
Virginia,1999,1100
Virginia,2000,948
Virginia,2001,930
Virginia,2002,1237
Virginia,2003,985
Virginia,2004,1088
Virginia,2005,1239
Virginia,2006,1088
Virginia,2007,1241
Virginia,2008,1063
Virginia,2009,1000
Virginia,2010,1476
Virginia,2011,1281
Virginia,2012,1227
Virginia,2013,999
Virginia,2014,994
Virginia,2015,1214
Virginia,2016,1336
Virginia,2017,1130
Virginia,2018,1404
Virginia,2019,1410
Virginia,2020,1204
Virginia,2021,1253
Virginia,2022,1188
Virginia,2023,1073
Washington,1974,130
Washington,1975,115
Washington,1976,84
Washington,1977,159
Washington,1978,132
Washington,1979,164
Washington,1980,81
Washington,1981,152
Washington,1982,122
Washington,1983,102
Washington,1984,111
Washington,1985,178
Washington,1986,164
Washington,1987,146
Washington,1988,116
Washington,1989,120
Washington,1990,227
Washington,1991,166
Washington,1992,185
Washington,1993,96
Washington,1994,199
Washington,1995,139
Washington,1996,159
Washington,1997,177
Washington,1998,261
Washington,1999,118
Washington,2000,113
Washington,2001,136
Washington,2002,155
Washington,2003,230
Washington,2004,239
Washington,2005,165
Washington,2006,187
Washington,2007,166
Washington,2008,131
Washington,2009,226
Washington,2010,120
Washington,2011,122
Washington,2012,163
Washington,2013,223
Washington,2014,269
Washington,2015,307
Washington,2016,174
Washington,2017,254
Washington,2018,237
Washington,2019,185
Washington,2020,183
Washington,2021,278
Washington,2022,305
Washington,2023,269
West Virginia,1974,549
West Virginia,1975,769
West Virginia,1976,479
West Virginia,1977,776
West Virginia,1978,744
West Virginia,1979,551
West Virginia,1980,786
West Virginia,1981,625
West Virginia,1982,600
West Virginia,1983,763
West Virginia,1984,653
West Virginia,1985,624
West Virginia,1986,756
West Virginia,1987,909
West Virginia,1988,812
West Virginia,1989,676
West Virginia,1990,664
West Virginia,1991,948
West Virginia,1992,538
West Virginia,1993,829
West Virginia,1994,686
West Virginia,1995,856
West Virginia,1996,641
West Virginia,1997,562
West Virginia,1998,828
West Virginia,1999,844
West Virginia,2000,666
West Virginia,2001,675
West Virginia,2002,918
West Virginia,2003,667
West Virginia,2004,730
West Virginia,2005,955
West Virginia,2006,723
West Virginia,2007,929
West Virginia,2008,681
West Virginia,2009,632
West Virginia,2010,1008
West Virginia,2011,892
West Virginia,2012,904
West Virginia,2013,711
West Virginia,2014,675
West Virginia,2015,869
West Virginia,2016,1046
West Virginia,2017,729
West Virginia,2018,1070
West Virginia,2019,995
West Virginia,2020,873
West Virginia,2021,880
West Virginia,2022,815
West Virginia,2023,689
Wisconsin,1974,382
Wisconsin,1975,504
Wisconsin,1976,487
Wisconsin,1977,503
Wisconsin,1978,442
Wisconsin,1979,379
Wisconsin,1980,498
Wisconsin,1981,415
Wisconsin,1982,379
Wisconsin,1983,654
Wisconsin,1984,482
Wisconsin,1985,401
Wisconsin,1986,426
Wisconsin,1987,624
Wisconsin,1988,770
Wisconsin,1989,434
Wisconsin,1990,431
Wisconsin,1991,583
Wisconsin,1992,228
Wisconsin,1993,411
Wisconsin,1994,418
Wisconsin,1995,690
Wisconsin,1996,370
Wisconsin,1997,362
Wisconsin,1998,599
Wisconsin,1999,568
Wisconsin,2000,429
Wisconsin,2001,546
Wisconsin,2002,625
Wisconsin,2003,470
Wisconsin,2004,332
Wisconsin,2005,678
Wisconsin,2006,559
Wisconsin,2007,591
Wisconsin,2008,459
Wisconsin,2009,321
Wisconsin,2010,662
Wisconsin,2011,586
Wisconsin,2012,745
Wisconsin,2013,464
Wisconsin,2014,406
Wisconsin,2015,469
Wisconsin,2016,642
Wisconsin,2017,466
Wisconsin,2018,624
Wisconsin,2019,516
Wisconsin,2020,605
Wisconsin,2021,670
Wisconsin,2022,536
Wisconsin,2023,563
Wyoming,1974,208
Wyoming,1975,200
Wyoming,1976,226
Wyoming,1977,251
Wyoming,1978,170
Wyoming,1979,215
Wyoming,1980,247
Wyoming,1981,241
Wyoming,1982,218
Wyoming,1983,298
Wyoming,1984,237
Wyoming,1985,213
Wyoming,1986,219
Wyoming,1987,193
Wyoming,1988,383
Wyoming,1989,259
Wyoming,1990,238
Wyoming,1991,256
Wyoming,1992,122
Wyoming,1993,80
Wyoming,1994,289
Wyoming,1995,218
Wyoming,1996,252
Wyoming,1997,219
Wyoming,1998,300
Wyoming,1999,234
Wyoming,2000,352
Wyoming,2001,388
Wyoming,2002,338
Wyoming,2003,381
Wyoming,2004,150
Wyoming,2005,265
Wyoming,2006,381
Wyoming,2007,409
Wyoming,2008,236
Wyoming,2009,151
Wyoming,2010,226
Wyoming,2011,315
Wyoming,2012,447
Wyoming,2013,348
Wyoming,2014,206
Wyoming,2015,285
Wyoming,2016,311
Wyoming,2017,292
Wyoming,2018,280
Wyoming,2019,246
Wyoming,2020,356
Wyoming,2021,413
Wyoming,2022,393
Wyoming,2023,254
