State,Year,January-December Maximum Temperature (Units Degrees Fahrenheit)
Alabama,1974,75.0
Alabama,1975,74.1
Alabama,1976,72.9
Alabama,1977,74.4
Alabama,1978,73.9
Alabama,1979,72.7
Alabama,1980,74.5
Alabama,1981,74.3
Alabama,1982,74.8
Alabama,1983,72.5
Alabama,1984,74.9
Alabama,1985,74.1
Alabama,1986,75.8
Alabama,1987,75.1
Alabama,1988,74.1
Alabama,1989,73.3
Alabama,1990,77.3
Alabama,1991,74.9
Alabama,1992,73.2
Alabama,1993,73.8
Alabama,1994,74.1
Alabama,1995,74.6
Alabama,1996,73.7
Alabama,1997,73.5
Alabama,1998,76.3
Alabama,1999,76.4
Alabama,2000,76.0
Alabama,2001,74.6
Alabama,2002,74.8
Alabama,2003,73.8
Alabama,2004,74.2
Alabama,2005,74.9
Alabama,2006,76.6
Alabama,2007,76.8
Alabama,2008,74.7
Alabama,2009,73.8
Alabama,2010,74.7
Alabama,2011,75.9
Alabama,2012,76.5
Alabama,2013,73.3
Alabama,2014,73.7
Alabama,2015,75.4
Alabama,2016,77.3
Alabama,2017,76.2
Alabama,2018,75.2
Alabama,2019,76.6
Alabama,2020,75.7
Alabama,2021,75.1
Alabama,2022,75.6
Alabama,2023,76.9
Alaska,1974,31.7
Alaska,1975,30.8
Alaska,1976,33.7
Alaska,1977,34.7
Alaska,1978,36.7
Alaska,1979,35.2
Alaska,1980,33.8
Alaska,1981,36.5
Alaska,1982,32.5
Alaska,1983,34.1
Alaska,1984,32.9
Alaska,1985,33.8
Alaska,1986,34.6
Alaska,1987,35.1
Alaska,1988,34.6
Alaska,1989,34.3
Alaska,1990,33.3
Alaska,1991,34.7
Alaska,1992,32.6
Alaska,1993,37.4
Alaska,1994,33.7
Alaska,1995,35.1
Alaska,1996,33.1
Alaska,1997,36.0
Alaska,1998,35.6
Alaska,1999,31.8
Alaska,2000,35.6
Alaska,2001,34.8
Alaska,2002,37.6
Alaska,2003,36.7
Alaska,2004,37.1
Alaska,2005,36.8
Alaska,2006,33.8
Alaska,2007,35.7
Alaska,2008,32.7
Alaska,2009,34.6
Alaska,2010,34.9
Alaska,2011,34.6
Alaska,2012,31.8
Alaska,2013,35.5
Alaska,2014,37.8
Alaska,2015,37.4
Alaska,2016,39.3
Alaska,2017,36.9
Alaska,2018,37.5
Alaska,2019,39.5
Alaska,2020,35.0
Alaska,2021,33.9
Alaska,2022,36.0
Alaska,2023,35.7
Arizona,1974,73.9
Arizona,1975,72.5
