Washington January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,46.7,-0.3
197512,45.2,-1.8
197612,45.9,-1.1
197712,46.2,-0.8
197812,45.9,-1.1
197912,46.4,-0.6
198012,46.1,-0.9
198112,47.3,0.3
198212,45.5,-1.5
198312,46.7,-0.3
198412,45.3,-1.7
198512,43.9,-3.1
198612,47.3,0.3
198712,48.3,1.3
198812,47.3,0.3
198912,46.6,-0.4
199012,47.3,0.3
199112,47.1,0.1
199212,48.6,1.6
199312,45.6,-1.4
199412,47.9,0.9
199512,47.5,0.5
199612,45.6,-1.4
199712,47.1,0.1
199812,48.6,1.6
199912,46.9,-0.1
200012,46.2,-0.8
200112,46.9,-0.1
200212,46.9,-0.1
200312,48.2,1.2
200412,48.4,1.4
200512,47.3,0.3
200612,47.5,0.5
200712,46.8,-0.2
200812,45.8,-1.2
200912,46.4,-0.6
201012,47.1,0.1
201112,45.5,-1.5
201212,47.1,0.1
201312,47.2,0.2
201412,48.4,1.4
201512,50.0,3.0
201612,48.6,1.6
201712,46.8,-0.2
201812,48.1,1.1
201912,46.5,-0.5
202012,48.1,1.1
202112,48.3,1.3
202212,47.1,0.1
202312,48.4,1.4
