Kentucky January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,55.5,-0.4
197512,55.8,-0.1
197612,53.3,-2.6
197712,54.8,-1.1
197812,53.4,-2.5
197912,53.4,-2.5
198012,54.6,-1.3
198112,54.3,-1.6
198212,55.3,-0.6
198312,55.1,-0.8
198412,55.3,-0.6
198512,55.0,-0.9
198612,56.6,0.7
198712,56.5,0.6
198812,54.8,-1.1
198912,54.3,-1.6
199012,57.3,1.4
199112,57.4,1.5
199212,55.1,-0.8
199312,55.0,-0.9
199412,55.4,-0.5
199512,55.4,-0.5
199612,54.4,-1.5
199712,54.5,-1.4
199812,58.2,2.3
199912,57.3,1.4
200012,55.7,-0.2
200112,56.6,0.7
200212,56.8,0.9
200312,55.2,-0.7
200412,56.4,0.5
200512,56.8,0.9
200612,56.8,0.9
200712,57.7,1.8
200812,55.4,-0.5
200912,55.4,-0.5
201012,56.0,0.1
201112,56.9,1.0
201212,58.4,2.5
201312,55.0,-0.9
201412,54.3,-1.6
201512,56.6,0.7
201612,57.9,2.0
201712,57.8,1.9
201812,57.0,1.1
201912,57.5,1.6
202012,57.1,1.2
202112,57.0,1.1
202212,56.3,0.4
202312,58.1,2.2
