Indiana January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,51.3,-0.7
197512,52.0,0.0
197612,50.0,-2.0
197712,51.0,-1.0
197812,49.1,-2.9
197912,49.2,-2.8
198012,50.5,-1.5
198112,50.8,-1.2
198212,50.7,-1.3
198312,51.8,-0.2
198412,51.3,-0.7
198512,51.0,-1.0
198612,52.4,0.4
198712,53.2,1.2
198812,51.3,-0.7
198912,50.2,-1.8
199012,53.3,1.3
199112,53.7,1.7
199212,51.3,-0.7
199312,50.8,-1.2
199412,51.5,-0.5
199512,51.5,-0.5
199612,50.1,-1.9
199712,50.5,-1.5
199812,54.9,2.9
199912,53.2,1.2
200012,51.6,-0.4
200112,53.2,1.2
200212,53.1,1.1
200312,51.1,-0.9
200412,52.2,0.2
200512,52.9,0.9
200612,53.4,1.4
200712,53.3,1.3
200812,51.0,-1.0
200912,51.3,-0.7
201012,52.6,0.6
201112,53.1,1.1
201212,55.1,3.1
201312,51.2,-0.8
201412,49.4,-2.6
201512,52.3,0.3
201612,54.2,2.2
201712,54.0,2.0
201812,52.6,0.6
201912,52.4,0.4
202012,53.3,1.3
202112,53.5,1.5
202212,52.2,0.2
202312,54.4,2.4
