Maine January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,39.6,-1.9
197512,40.8,-0.7
197612,39.5,-2.0
197712,40.5,-1.0
197812,39.3,-2.2
197912,41.8,0.3
198012,39.5,-2.0
198112,41.8,0.3
198212,39.9,-1.6
198312,42.1,0.6
198412,41.4,-0.1
198512,39.9,-1.6
198612,40.1,-1.4
198712,41.1,-0.4
198812,40.9,-0.6
198912,39.3,-2.2
199012,42.4,0.9
199112,41.7,0.2
199212,39.8,-1.7
199312,40.0,-1.5
199412,40.4,-1.1
199512,40.9,-0.6
199612,41.0,-0.5
199712,39.8,-1.7
199812,43.5,2.0
199912,43.8,2.3
200012,40.9,-0.6
200112,42.7,1.2
200212,41.7,0.2
200312,40.5,-1.0
200412,40.4,-1.1
200512,41.8,0.3
200612,44.0,2.5
200712,40.7,-0.8
200812,41.6,0.1
200912,40.9,-0.6
201012,44.6,3.1
201112,42.8,1.3
201212,43.9,2.4
201312,42.0,0.5
201412,41.2,-0.3
201512,41.2,-0.3
201612,43.3,1.8
201712,42.4,0.9
201812,41.8,0.3
201912,40.7,-0.8
202012,43.5,2.0
202112,44.2,2.7
202212,43.4,1.9
202312,44.4,2.9
